CID,amount
         ,210628
C00000042,10250
C00000059,450
C00000372,720
C00000422,2528865
C00000489,700
C00000638,10865
C00000729,274917
C00000794,48800
C00000885,34087
C00000901,1858172
C00000935,10000
C00000984,194475
C00001008,40850
C00001016,129342
C00001180,53475
C00001198,251411
C00001214,482474
C00001289,14350
C00001305,346447
C00001313,1192613
C00001347,800
C00001388,20976
C00001420,52035
C00001461,4900
C00001636,120832
C00001685,125300
C00001727,110300
C00001743,300
C00001776,250
C00001818,3450
C00001875,49739
C00001917,25195
C00002089,66169
C00002238,18325
C00002261,287500
C00002469,108456
C00002766,148646
C00002790,500
C00002840,3926
C00002881,735145
C00002931,36021036
C00002956,46732
C00002972,192755
C00003020,5000
C00003111,129610
C00003152,4900
C00003194,20130
C00003251,540214
C00003327,170775
C00003418,40312819
C00003459,1050
C00003558,805066
C00003632,6652
C00003756,44675
C00003764,927488
C00003806,1300
C00003830,82055
C00003855,7650
C00003863,300
C00003897,500
C00003970,45925
C00003988,116945
C00004010,7225
C00004036,8585
C00004101,223373
C00004275,114216
C00004325,113303
C00004473,4050
C00004515,18501
C00004606,257800
C00004812,330215
C00004861,200
C00004879,130265
C00004929,96800
C00004960,700
C00004994,17698
C00005132,3000
C00005157,2717
C00005173,384839
C00005249,297009
C00005462,13250
C00005488,43790
C00005561,1208594
C00005660,147375
C00005751,8270
C00005785,303980
C00005801,2600
C00005926,408010
C00006049,116940
C00006080,941306
C00006247,676
C00006338,58937
C00006486,815800
C00007070,52911
C00007450,78410
C00007542,200315
C00007658,628691
C00007880,157026
C00007898,100611
C00007922,7694
C00007948,500
C00008086,92810
C00008151,49000
C00008227,658064
C00008268,14609
C00008334,4300
C00008425,30200
C00008474,256721
C00008664,521269
C00008839,195223
C00008896,500
C00009035,35277
C00009282,87236
C00009357,31500
C00009423,17256
C00009449,700
C00009639,4258
C00009704,163269
C00009795,53550
C00009845,73623
C00009936,29729
C00009985,651156
C00010033,189867
C00010082,1024650
C00010124,77750
C00010322,20052
C00010363,96773
C00010421,952879
C00010439,68821
C00010470,37896
C00010488,14075
C00010520,675
C00010603,13350556
C00010710,9201
C00010793,191290
C00010868,200544
C00010983,62322
C00011114,2177
C00011197,2792886
C00011221,13800
C00011262,2572
C00011270,22900
C00011338,1800
C00011544,42495
C00011627,5250
C00012245,27663
C00012310,39250
C00012328,146299
C00012401,26322
C00012468,32836
C00012476,67150
C00012484,52860
C00012518,29832
C00012575,1500
C00012880,273305
C00012914,131939
C00013342,1715
C00013672,178052
C00013748,161388
C00013961,231934
C00014019,18750
C00014092,7250
C00014498,789819
C00014555,341367
C00014878,105445
C00015024,774873
C00015552,193912
C00015594,87379
C00015933,39155
C00016386,51850
C00016444,6150
C00016683,137000
C00016899,360715
C00017244,1800
C00017525,71009
C00017558,57472
C00017681,21100
C00018028,158750
C00018036,2000
C00018135,6000
C00018929,237701
C00018945,450
C00019083,2750
C00019331,223670
C00019380,162375
C00019653,97143
C00019976,10000
C00020818,502960
C00021121,21193
C00021295,78486
C00021972,10000
C00022343,329141
C00022368,115100
C00022517,511
C00022988,93377
C00023028,104419
C00023580,73982
C00023838,390700
C00024281,119357
C00024299,15715
C00024349,28697
C00024372,307034
C00024422,1200
C00024455,300
C00024521,1766137
C00024679,150477
C00024752,18180
C00024869,879219
C00024935,16250
C00024968,263844
C00025023,10500
C00025098,1200
C00025254,745094
C00025346,54345
C00025395,500
C00025536,14725
C00025668,43419
C00026096,3655
C00026823,1000
C00027342,381
C00027359,3396
C00027466,26188937
C00027532,599844
C00028670,5750
C00028787,209516
C00028860,5764
C00029165,229516
C00029348,59748
C00029447,528477
C00029504,24861
C00030007,27500
C00030593,1000
C00030676,3066
C00030718,748626
C00030734,27802
C00030809,32130
C00031054,1285418
C00031088,340078
C00032334,258821
C00032441,63990
C00032573,11400
C00032607,3050
C00032698,451602
C00032797,168280
C00032979,7115
C00032995,3250
C00033092,550
C00033134,547140
C00033423,24098
C00033431,490
C00033456,100334
C00033555,5000
C00033589,57242
C00033704,1650
C00033779,219700
C00033795,2550
C00033944,2700
C00033969,4100
C00033977,18471
C00034033,244941
C00034041,3513
C00034132,285972
C00034157,27270
C00034173,106700
C00034181,2000
C00034256,1250
C00034272,138445
C00034298,19270
C00034330,15518
C00034355,25985
C00034405,23700
C00034470,36150
C00034488,351589
C00034538,3240
C00034595,23841
C00034645,2357
C00034678,36351
C00034728,4000
C00034785,54040
C00034827,1907
C00034876,240
C00034884,30450
C00034934,9600
C00035006,32150
C00035204,80375
C00035253,14985
C00035451,84737
C00035477,1000
C00035501,12283
C00035519,11450
C00035600,516444
C00035618,158436
C00035675,108453
C00035683,167306
C00035691,17433
C00035766,20895
C00035774,87200
C00038505,1092988
C00038604,135860
C00038612,43579
C00039016,6220
C00039040,14736
C00039057,26919
C00039123,47750
C00039131,9300
C00039164,15728
C00039206,26954
C00039214,54585
C00039305,280336
C00039321,66435
C00039461,14239
C00039503,13882
C00039552,3713
C00039578,213025
C00040170,11403
C00040220,1963490
C00040238,21400
C00040253,23689
C00040279,1000
C00040329,45002
C00040360,2300
C00040394,1220
C00040535,115613
C00040568,22300
C00040584,23075
C00040659,15687
C00040725,23100
C00040741,35399
C00040824,735
C00040840,4200
C00040923,88030
C00040998,3222355
C00041061,16200
C00041160,834500
C00041269,865429
C00041301,650
C00041376,10500
C00041558,4010
C00041566,73800
C00041590,18475
C00041608,4972
C00041947,10668
C00041954,500
C00042002,86803
C00042069,22108
C00042366,18545263
C00042622,694433
C00042895,3100
C00042960,17050
C00043059,8610
C00043091,16450
C00043463,308132
C00043489,19212
C00043687,12976
C00043919,10538
C00043992,32996
C00044024,28793
C00044776,436198
C00044818,9650
C00044842,644412
C00044990,382176
C00045781,158522
C00046086,29610
C00046474,166400
C00047415,17905
C00048165,81158
C00048181,14280
C00048579,10620
C00048702,15764
C00051979,3747
C00053553,167353
C00053751,50000
C00054890,1367
C00055236,5352
C00055582,920247
C00055616,56061
C00056523,250
C00059238,5185
C00059329,5650
C00059477,5047
C00059733,162228
C00059832,163650
C00059907,10847
C00060103,13780
C00060707,5418
C00062646,1550
C00062836,47000
C00063024,650
C00063164,101130
C00063461,220
C00064097,2410
C00064766,355185
C00064774,4732
C00065219,83080
C00065870,16832
C00065987,10275
C00066472,116473
C00067231,170975
C00067504,229902
C00067884,11250
C00068452,14750
C00068528,68593
C00068692,50980
C00071365,398604
C00072025,131053
