CID,amount
N00000010,245336
N00000019,156459
N00000036,130435
N00000048,57884
N00000078,402893
N00000086,172
N00000113,5000
N00000133,44112
N00000140,5000
N00000143,207338
N00000153,294307
N00000179,258515
N00000183,13013
N00000205,10015
N00000226,174852
N00000227,59
N00000245,2709145
N00000256,5922
N00000267,257856
N00000270,10919
N00000275,153420
N00000280,270601
N00000308,39025
N00000360,743746
N00000362,878061
N00000397,2956153
N00000421,3500
N00000423,522652
N00000438,3651
N00000444,114422
N00000469,221508
N00000480,13247
N00000491,1752802
N00000492,9300
N00000496,8700
N00000528,95651
N00000534,46000
N00000561,1799337
N00000571,500
N00000575,326588
N00000581,492607
N00000585,46594
N00000615,301159
N00000616,36500
N00000637,1335301
N00000638,427
N00000652,162702
N00000659,1854792
N00000667,289
N00000684,310345
N00000699,609517
N00000716,277229
N00000740,119483
N00000743,691615
N00000751,379321
N00000756,1698512
N00000766,875855
N00000770,100
N00000781,513583
N00000802,1000
N00000826,407970
N00000834,446295
N00000847,220
N00000851,478986
N00000854,4000
N00000860,595547
N00000885,500
N00000901,5500
N00000939,258267
N00000964,1043542
N00000969,4850
N00000983,412287
N00001003,595183
N00001020,519094
N00001024,402312
N00001025,2000
N00001049,178026
N00001057,1000
N00001074,206517
N00001082,543669
N00001093,343256
N00001102,349732
N00001110,278529
N00001111,1000
N00001127,418100
N00001129,250
N00001133,500
N00001143,265166
N00001148,497912
N00001171,320018
N00001176,176247
N00001182,8500
N00001190,5000
N00001193,275255
N00001214,265949
N00001222,301933
N00001226,5000
N00001261,390456
N00001267,621854
N00001276,233391
N00001279,1000
N00001290,471710
N00001295,629126
N00001305,323679
N00001311,294228
N00001329,491025
N00001338,1000
N00001339,215452
N00001371,16500
N00001373,436041
N00001380,191900
N00001395,108666
N00001399,2500
N00001408,758328
N00001417,10000
N00001422,221290
N00001427,670700
N00001447,1222040
N00001469,1077189
N00001489,829390
N00001505,500
N00001509,866581
N00001510,280353
N00001519,26590
N00001520,4000
N00001527,2500
N00001529,691952
N00001531,1250
N00001535,298920
N00001542,245241
N00001571,240
N00001572,198322
N00001579,11150
N00001604,671226
N00001619,238701
N00001631,200
N00001633,179482
N00001664,618
N00001669,67470
N00001670,90537
N00001678,1000
N00001685,1085598
N00001691,888832
N00001692,75672
N00001725,346323
N00001730,250
N00001743,99712
N00001746,208877
N00001751,2658817
N00001754,17000
N00001758,620871
N00001762,90000
N00001764,24500
N00001783,2055190
N00001784,5000
N00001800,500
N00001805,1300655
N00001806,627174
N00001811,224558
N00001813,199732
N00001817,447373
N00001821,815113
N00001849,445254
N00001861,365155
N00001871,100000
N00001912,750
N00001923,547118
N00001925,186102
N00001945,139250
N00001955,577294
N00001971,251266
N00001979,3000
N00002012,7541
N00002017,59741
N00002045,667693
N00002047,2250
N00002057,1093
N00002061,1015298
N00002072,18530
N00002073,271332
N00002083,510725
N00002091,1258405
N00002126,6241
N00002147,142902
N00002167,238313
N00002171,744757
N00002198,270343
N00002200,8000
N00002214,235785
N00002221,638956
N00002247,372433
N00002249,12500
N00002260,346433
N00002269,446790
N00002283,4250
N00002287,3821
N00002299,431782
N00002302,82420
N00002314,500
N00002315,1265418
N00002327,340454
N00002328,276962
N00002345,1000
N00002356,353604
N00002377,416016
N00002383,221059
N00002408,258899
N00002414,77500
N00002423,482624
N00002424,5500
N00002428,225782
N00002460,41253
N00002466,1000
N00002472,48426
N00002492,528575
N00002511,263560
N00002519,80000
N00002521,5000
N00002526,247388
N00002545,500
N00002548,2500
N00002555,389074
N00002556,486988
N00002577,312777
N00002593,342232
N00002599,476986
N00002610,178905
N00002618,1000
N00002630,344489
N00002633,3500
N00002635,3913
N00002656,276675
N00002674,409730
N00002685,2743495
N00002713,313000
N00002718,697
N00002742,126150
N00002743,464039
N00002754,46686
N00002782,406193
N00002791,38781
N00002793,764933
N00002807,276008
N00002839,305674
N00002856,100284
N00002858,163630
N00002872,199052
N00002877,1019660
N00002884,190422
N00002898,767475
N00002905,261335
N00002926,338198
N00002960,28300
N00002963,771
N00002973,1543637
N00002982,480510
N00003008,584392
N00003025,2000
N00003028,283507
N00003036,4250
N00003042,504772
N00003045,11500
N00003047,2
N00003059,1000
N00003062,1201863
N00003071,141906
N00003075,15750
N00003083,255430
N00003091,147146
N00003098,468876
N00003105,223908
N00003126,442946
N00003132,300814
N00003136,190750
N00003147,25750
N00003159,7901
N00003164,18192
N00003166,15632
N00003195,1000
N00003202,126181
N00003209,288292
N00003216,500
N00003218,477536
N00003254,566897
N00003258,858177
N00003264,668801
N00003280,210769
N00003288,319153
N00003327,700
N00003328,980763
N00003329,87000
N00003339,838960
N00003341,1316874
N00003350,172052
N00003367,500
N00003389,1312794
N00003392,1478856
N00003430,583441
N00003437,268493
N00003444,855079
N00003467,475250
N00003473,401749
N00003476,230606
N00003477,2
N00003504,630994
N00003508,500
N00003522,271893
N00003532,471610
N00003535,554106
N00003545,319613
N00003561,282324
N00003572,258619
N00003583,335617
N00003647,3223
N00003651,59772
N00003656,3000
N00003660,355065
N00003674,4754
N00003675,643285
N00003682,35765
N00003689,325448
N00003709,77235
N00003716,25326
N00003725,385506
N00003730,780828
N00003734,298
N00003736,908395
N00003758,593873
N00003762,470955
N00003765,420820
N00003813,415814
N00003828,5000
N00003838,806865
N00003842,14625
N00003844,231663
N00003875,666279
N00003877,258
N00003897,37354
N00003924,651395
N00003939,332355
N00003950,533704
N00003954,392032
N00003958,200
N00003962,260806
N00004005,254848
N00004007,3421
N00004029,366785
N00004045,781992
N00004070,277163
N00004087,75677
N00004093,200
N00004094,71842
N00004113,4277
N00004118,232193
N00004121,2253
N00004133,632204
N00004145,2200
N00004155,15199
N00004156,1000
N00004166,121969
N00004167,6000
N00004196,537620
N00004207,1970966
N00004208,933142
N00004221,2412437
N00004227,1176241
N00004229,216144
N00004237,11000
N00004255,1185319
N00004278,56816
N00004280,293051
N00004291,391029
N00004309,1053
N00004330,409802
N00004357,554760
N00004367,393806
N00004373,28579
N00004375,5000
N00004376,1555
N00004391,410104
N00004394,628169
N00004403,349322
N00004413,200
N00004426,345131
N00004432,129
N00004436,945568
N00004440,1362890
N00004443,3674757
N00004452,1000
N00004456,5000
N00004460,9500
N00004468,3028
N00004484,485218
N00004489,258519
N00004527,254780
N00004558,336690
N00004565,11000
N00004572,2101382
N00004578,162050
N00004583,521506
N00004613,181909
N00004615,393790
N00004638,136863
N00004643,2801637
N00004645,495053
N00004663,1500
N00004669,309
N00004690,208356
N00004698,562864
N00004700,23000
N00004702,169387
N00004708,200
N00004724,194338
N00004745,847727
N00004762,283587
N00004781,1392230
N00004800,27781
N00004816,82913
N00004836,1000
N00004856,247439
N00004874,328803
N00004884,268809
N00004887,227545
N00004905,459718
N00004912,383539
N00004933,364003
N00004956,325251
N00004958,2000
N00004961,1267294
N00004964,6081
N00004981,1289952
N00004991,709172
N00005004,3204793
N00005026,28930
N00005037,2429296
N00005090,633479
N00005105,346726
N00005119,278763
N00005138,100
N00005165,20913
N00005178,122144
N00005182,53164
N00005195,1382017
N00005218,234890
N00005233,994411
N00005244,119500
N00005282,259899
N00005285,935389
N00005301,922913
N00005321,522549
N00005327,1000
N00005329,369933
N00005331,127230
N00005332,3000
N00005336,1046
N00005353,739293
N00005372,1535951
N00005385,126178
N00005395,3510730
N00005403,1000
N00005407,638761
N00005414,567080
N00005422,335708
N00005437,68081
N00005442,239656
N00005445,5000
N00005455,553846
N00005469,4000
N00005499,2315311
N00005510,5200
N00005528,356932
N00005532,1250
N00005551,316160
N00005555,522644
N00005559,291728
N00005580,35000
N00005582,1463427
N00005597,8000
N00005600,2000
N00005608,2000
N00005615,7500
N00005617,118937
N00005638,301729
N00005645,420532
N00005648,3500
N00005656,585213
N00005675,53172
N00005677,1048771
N00005681,386849
N00005709,532218
N00005724,692558
N00005731,514430
N00005732,1500
N00005751,1000
N00005794,1028240
N00005805,798674
N00005818,260059
N00005835,35500
N00005870,529970
N00005883,294477
N00005892,915231
N00005906,32071
N00005918,2723
N00005928,477852
N00005960,417575
N00005961,6500
N00005985,1095115
N00005998,169319
N00006008,175611
N00006023,247344
N00006052,154204
N00006055,420158
N00006057,5800
N00006060,833070
N00006067,211624
N00006085,13250
N00006103,245635
N00006118,2000
N00006120,1648922
N00006132,31500
N00006134,443744
N00006146,1000
N00006182,4000
N00006202,8500
N00006213,287715
N00006242,426836
N00006246,9746
N00006249,948490
N00006263,260684
N00006267,186624
N00006283,1000
N00006312,58798
N00006347,62577
N00006348,1000
N00006349,221712
N00006397,505449
N00006399,1000
N00006406,50157
N00006423,65662
N00006424,25000
N00006425,421198
N00006455,566959
N00006473,109484
N00006486,348109
N00006502,25000
N00006515,1104216
N00006518,13300
N00006546,1472304
N00006561,178477
N00006586,44975
N00006619,79577
N00006641,1
N00006652,227174
N00006671,234403
N00006690,150608
N00006692,276614
N00006713,15000
N00006750,599505
N00006758,30
N00006789,235128
N00006802,4000
N00006808,500
N00006811,226424
N00006821,2500
N00006882,297208
N00006897,448135
N00006932,360772
N00006949,2700
N00006954,431453
N00006983,367959
N00007017,289458
N00007033,404373
N00007050,389591
N00007068,265152
N00007084,6000
N00007087,401914
N00007089,312930
N00007099,254298
N00007124,289796
N00007140,500
N00007151,95508
N00007165,1000
N00007216,9250
N00007231,226864
N00007232,477451
N00007248,439911
N00007251,691854
N00007256,979748
N00007279,619
N00007312,329430
N00007335,450537
N00007360,594334
N00007364,82175
N00007382,109241
N00007390,336596
N00007397,321365
N00007419,367436
N00007422,563915
N00007446,250
N00007458,273389
N00007479,208770
N00007502,91807
N00007507,288283
N00007511,6100
N00007515,12
N00007516,421131
N00007556,441456
N00007562,14472
N00007571,505216
N00007581,407401
N00007582,12
N00007584,389162
N00007615,77700
N00007632,58192
N00007635,5000
N00007653,11000
N00007665,482769
N00007681,9000
N00007690,363615
N00007700,467488
N00007724,140231
N00007727,265122
N00007730,7000
N00007779,5289
N00007781,215970
N00007789,657941
N00007815,2478355
N00007823,735211
N00007826,16152
N00007833,489266
N00007836,80154
N00007876,354059
N00007879,6841
N00007918,415976
N00007936,500399
N00007997,1210964
N00007999,949135
N00008006,57331
N00008020,1000
N00008022,1000
N00008028,442476
N00008032,456814
N00008038,608880
N00008046,227545
N00008048,2000
N00008051,304032
N00008059,3039
N00008071,2690579
N00008072,155839
N00008086,430808
N00008091,676329
N00008092,536096
N00008094,244119
N00008113,1588269
N00008122,263797
N00008144,471982
N00008166,412868
N00008188,192655
N00008190,32114
N00008191,4000
N00008264,304793
N00008266,3600
N00008274,495446
N00008619,363276
N00008799,319087
N00008954,433453
N00008957,650199
N00009082,3814767
N00009091,17115
N00009154,304694
N00009157,180452
N00009160,57910
N00009570,302864
N00009571,1159074
N00009572,600
N00009573,155906
N00009576,50414
N00009578,1352
N00009585,462674
N00009586,257183
N00009588,37395
N00009596,588
N00009597,250
N00009604,344450
N00009608,1126253
N00009611,96122
N00009614,594960
N00009615,1000
N00009617,12419
N00009618,282660
N00009626,30800
N00009633,396497
N00009635,361841
N00009637,460499
N00009638,2000
N00009640,150
N00009642,14250
N00009644,8000
N00009647,1000
N00009652,118757
N00009654,11455
N00009656,5883
N00009657,5000
N00009659,276876
N00009662,2
N00009668,671854
N00009670,1118606
N00009671,2000
N00009675,300
N00009677,219760
N00009682,3500
N00009687,150
N00009698,7990
N00009699,465583
N00009704,434392
N00009710,1000
N00009713,17
N00009715,614835
N00009717,5000
N00009719,13253
N00009724,436088
N00009725,2250
N00009727,500
N00009734,100
N00009735,34500
N00009738,198888
N00009742,1750
N00009748,4000
N00009751,147269
N00009752,202
N00009753,896436
N00009754,29750
N00009755,1000
N00009757,600
N00009759,783489
N00009760,1242
N00009761,500
N00009767,231211
N00009771,1725903
N00009774,455408
N00009775,309713
N00009779,1430478
N00009791,5000
N00009795,707066
N00009799,285346
N00009816,198898
N00009818,746387
N00009821,401670
N00009824,354038
N00009825,137625
N00009828,262204
N00009829,231806
N00009869,67935
N00009888,1648336
N00009901,4500
N00009903,1500
N00009918,4750
N00009920,380612
N00009922,439592
N00009926,376927
N00009927,3500
N00009932,1000
N00009937,8800
N00009938,12323
N00009944,5000
N00009945,51500
N00009954,62200
N00009957,127737
N00009975,2824286
N00010084,2281966
N00010920,3750
N00011046,617827
N00011059,1000
N00011358,27515
N00012102,424180
N00012307,645463
N00012454,3867
N00012457,245854
N00012460,199526
N00012471,3500
N00012484,1523
N00012485,6250
N00012489,515
N00012490,161
N00012493,107792
N00012496,500
N00012502,1000
N00012508,243089
N00012524,1000
N00012526,1930
N00012539,547807
N00012542,432
