CID,amount
N00000019,157030977
N00000036,14849441
N00000078,807910
N00000153,1347842
N00000179,472156
N00000259,1500
N00000267,529520
N00000270,119500
N00000286,23
N00000362,159750
N00000397,1013
N00000491,153940
N00000515,753014
N00000528,6532800
N00000575,1203012
N00000615,625589
N00000684,924368
N00000699,254300
N00000716,41800
N00000743,4503555
N00000751,929860
N00000781,1621463
N00000851,1163503
N00000898,706296
N00000939,573678
N00000962,15900
N00000964,56256
N00001003,513470
N00001024,489645
N00001093,3712763
N00001102,499451
N00001127,1708157
N00001171,772110
N00001193,499836
N00001285,757388
N00001311,721556
N00001373,658674
N00001380,179130
N00001395,13023
N00001489,55123972
N00001543,1000
N00001579,1000
N00001619,358100
N00001633,399500
N00001669,306446
N00001678,2287931
N00001692,262000
N00001695,1125
N00001746,126827
N00001758,2954278
N00001783,8500
N00001811,809348
N00001813,230470
N00001821,2663857
N00001861,26215
N00001883,41657
N00001945,57600
N00001955,380050
N00001971,622606
N00001999,2500
N00002039,9700
N00002083,23500
N00002097,436900
N00002147,583847
N00002198,3452
N00002213,77
N00002221,25408924
N00002260,484520
N00002269,500
N00002299,241182
N00002408,1766304
N00002424,251276
N00002577,620269
N00002581,7000
N00002593,4955487
N00002674,817710
N00002713,356900
N00002742,1000
N00002776,60
N00002793,1732036
N00002858,664574
N00002884,383347
N00002893,590328
N00002942,1321867
N00002982,2000
N00003028,956713
N00003062,91157
N00003105,1308545
N00003132,354500
N00003209,279371
N00003225,455280
N00003280,271238
N00003288,874500
N00003328,485500
N00003362,1000
N00003389,688700
N00003473,985407
N00003513,2500
N00003522,594631
N00003535,712709
N00003545,5000
N00003588,2240
N00003675,2661
N00003682,20010193
N00003689,539974
N00003730,33908021
N00003758,2500
N00003762,20762987
N00003813,658659
N00003845,93500
N00003875,352633
N00003950,1072750
N00004029,378476
N00004070,15625
N00004118,802708
N00004133,2207503
N00004207,1250
N00004291,209491
N00004357,3384148
N00004367,314015
N00004403,1709390
N00004426,5000
N00004436,362500
N00004540,658236
N00004558,994582
N00004565,1050
N00004572,2478061
N00004614,837187
N00004671,500
N00004698,749
N00004719,1624593
N00004724,391257
N00004874,321474
N00004884,553457
N00004887,496607
N00004933,9404
N00004956,6500
N00004961,2842717
N00004981,256700
N00005026,49000
N00005110,24808
N00005181,1000
N00005195,15839286
N00005282,2224629
N00005285,395389
N00005293,6095315
N00005329,10000
N00005345,7045
N00005395,11269
N00005559,881162
N00005582,265304
N00005645,2500
N00005656,731365
N00005681,1344538
N00005736,536262
N00005818,240760
N00005870,1423764
N00005883,3355134
N00005906,1100
N00005930,925
N00006008,70500
N00006023,365470
N00006052,893831
N00006134,731886
N00006236,380930
N00006249,73000
N00006263,755684
N00006267,2365646
N00006423,222675
N00006424,4745254
N00006446,185939
N00006460,426428
N00006521,1000
N00006561,155000
N00006671,374114
N00006690,534021
N00006701,330078
N00006770,2000
N00006789,577919
N00006806,2039
N00006863,136144
N00006882,6000
N00006897,731984
N00006954,2500
N00006983,8750
N00007017,1421538
N00007021,828437
N00007089,500
N00007099,741620
N00007151,45843
N00007232,26823
N00007248,1605410
N00007312,142650
N00007335,673318
N00007360,1324138
N00007364,228055
N00007419,1288364
N00007479,495374
N00007516,1000
N00007539,2950746
N00007581,100
N00007635,46500
N00007690,2132586
N00007724,2297966
N00007727,927319
N00007781,860381
N00007833,654120
N00007836,18510
N00007876,2893864
N00007889,4379
N00007999,467016
N00008028,804644
N00008046,344605
N00008051,10088
N00008060,2750
N00008122,372035
N00008264,1371704
N00008274,688801
N00008799,655070
N00008957,60700
N00009154,1029743
N00009573,358950
N00009585,454741
N00009604,342094
N00009614,10000
N00009638,23
N00009659,166981
N00009660,2386714
N00009699,2856963
N00009724,506335
N00009738,619116
N00009759,757262
N00009768,120162
N00009771,126326
N00009774,1166500
N00009778,22130740
N00009795,14499
N00009816,256208
N00009829,183000
N00009869,928902
N00009888,179000
N00009918,1315510
N00009920,2178693
N00009922,223185
N00009926,610186
N00009975,3644105
N00010536,1000
N00012233,644535
N00012460,605253
N00012508,506110
N00012539,5472823
N00012546,1077342
N00012611,1183163
N00012669,6510
N00012672,482526
N00012685,1350
N00012739,832946
N00012778,4
N00012942,527483
N00013131,900
N00013152,12
N00013269,104
N00013294,1731
N00013323,1200737
N00013345,572108
N00013682,16
N00013770,2793796
N00013794,500
N00013799,509642
N00013817,162720
N00013820,3200904
N00013846,381213
N00013855,365250
N00013856,6433
N00013873,2108842
N00015354,1000
N00021207,9207464
N00021368,2500
N00023214,1000
N00023864,277957943
N00024660,4000
N00024753,5911051
N00024759,710823
N00024790,201429
N00024809,661560
N00024842,730420
N00024852,447153
N00024866,54500
N00024870,1149575
N00024871,1072770
N00024922,1283216
N00024978,1002255
N00024992,968350
N00025095,635175
N00025145,2500
N00025175,527761
N00025219,1002558
N00025237,317954
N00025280,538672
N00025284,351524
N00025292,617580
N00025314,5900
N00025337,951856
N00025430,1210
N00025445,206650
N00025477,1000
N00025482,624214
N00025495,697031
N00025589,606
N00025726,1033606
N00025742,2500
N00025797,26000
N00025881,289100
N00026041,1223259
N00026043,254000
N00026050,2374251
N00026067,218
N00026080,1000
N00026095,2500
N00026106,1563715
N00026113,8514
N00026148,118517
N00026160,1271964
N00026163,294512
N00026166,677654
N00026171,1083485
N00026175,40
N00026286,2000
N00026314,1526542
N00026322,2500
N00026331,109
N00026335,229549
N00026341,956272
N00026368,1753690
N00026376,1315
N00026427,179588
N00026457,394619
N00026460,770573
N00026586,818049
N00026595,3086918
N00026627,1944414
N00026631,353554
N00026686,233810
N00026710,721174
N00026786,3054106
N00026790,908492
N00026819,1000
N00026823,1591663
N00026867,2000
N00026885,1025295
N00026914,802533
N00026926,486504
N00026931,1250
N00026961,534761
N00027035,971973
N00027060,327745
N00027083,16666
N00027229,75006
N00027239,655222
N00027396,886
N00027441,145794
N00027459,872293
N00027462,782200
N00027464,38130
N00027467,781816
N00027500,469161
N00027502,1000
N00027503,770496
N00027509,2472326
N00027510,1279547
N00027514,439260
N00027522,748964
N00027523,365860
N00027533,230971
N00027566,270839
N00027577,134500
N00027581,430
N00027605,885101
N00027623,928697
N00027626,775187
N00027630,2500
N00027649,1630939
N00027658,216224
N00027694,241000
N00027726,187
N00027741,951208
N00027751,15296
N00027827,1000
N00027845,5000
N00027848,464345
N00027860,4404008
N00027894,360214
N00027939,5000
N00028049,2973028
N00028073,448254
N00028091,1119846
N00028094,2500
N00028129,7761
N00028133,439418
N00028138,1554684
N00028139,298827
N00028152,3591156
N00028229,1500
N00028249,5023275
N00028253,2500
N00028257,361213
N00028277,2500
N00028392,500
N00028418,122282
N00028444,1135
N00028463,49109
N00028496,218
N00028549,1000
N00028599,3000
N00028747,1
N00028958,797161
N00028981,124583
N00028986,14545
N00029016,159860
N00029018,492761
N00029026,393085
N00029070,1032923
N00029077,1379478
N00029127,88916
N00029139,788869
N00029140,27000
N00029147,489224
N00029149,367918
N00029162,3000
N00029168,29850
N00029258,757174
N00029260,2045681
N00029264,1000
N00029273,85000
N00029277,475685
N00029285,944892
N00029303,96890
N00029357,10
N00029390,414164
N00029391,5909111
N00029400,789699
N00029404,2477067
N00029441,72114
N00029459,505652
N00029512,5500
N00029513,594306
N00029556,4000
N00029562,1442642
N00029566,599
N00029574,1778870
N00029593,12312
N00029617,6037
N00029632,538615
N00029649,374548
N00029652,18892
N00029662,423820
N00029675,1477023
N00029679,2934413
N00029704,1207
N00029706,3300
N00029721,1000
N00029730,312
N00029736,464100
N00029788,62000
N00029798,71
N00029835,529850
N00029848,266249
N00029891,932876
N00029901,366
N00029908,4841950
N00029941,1000
N00030010,4000
N00030026,1334105
N00030071,1783316
N00030179,12000
N00030184,1010164
N00030191,494337
N00030196,711227
N00030197,284500
N00030207,650
N00030245,356233
N00030279,2000
N00030400,2000
N00030418,500
N00030490,664180
N00030521,2500
N00030581,562461
N00030600,413287
N00030602,605927
N00030608,4991428
N00030612,66382164
N00030619,500
N00030622,1263238
N00030642,124000
N00030645,942897
N00030650,414641
N00030667,1198052
N00030670,13090973
N00030673,824755
N00030676,934442
N00030682,5000
N00030693,895915
N00030709,316984
N00030717,4520226
N00030734,5521
N00030736,253634
N00030744,925961
N00030752,339378
N00030759,5011
N00030768,2616959
N00030770,391108
N00030771,689049
N00030776,7
N00030780,482432
N00030788,799834
N00030801,1583909
N00030808,4000
N00030815,650059
N00030829,317102
N00030836,8510696
N00030846,500
N00030854,425
N00030856,677480
N00030861,500
N00030875,1171050
N00030880,339345
N00030891,964067
N00030910,253844
N00030916,1267403
N00030926,33596
N00030949,2222499
N00030957,187834
N00030962,178950
N00030967,1325592
N00030968,403949
N00030980,47402391
N00031005,434646
N00031006,2000
N00031007,1000
N00031011,1000
N00031064,1594090
N00031083,1000
N00031084,9
N00031103,5280089
N00031104,868525
N00031127,1406229
N00031128,622118
N00031129,1227984
N00031133,1026
N00031134,1875769
N00031138,1000
N00031141,487110
N00031176,6238943
N00031177,396554
N00031185,2500
N00031226,889829
N00031227,648062
N00031233,1157467
N00031241,1000
N00031244,40106068
N00031253,630072
N00031263,300963
N00031265,343500
N00031295,5000
N00031297,1000
N00031317,437710
N00031339,3000
N00031346,4
N00031348,3875776
N00031377,217131
N00031390,15410
N00031412,669424
N00031417,5185164
N00031440,16500
N00031502,2145994
N00031503,30500
N00031513,2476455
N00031530,2000
N00031539,1126679
N00031545,1126006
N00031546,14400
N00031557,825020
N00031559,429480
N00031580,1500
N00031593,2067678
N00031625,15883
N00031631,36800
N00031647,1139271
N00031656,358811
N00031672,508033
N00031678,1
N00031681,835560
N00031685,1699365
N00031688,1475719
N00031696,1422959
N00031699,13166
N00031741,540145
N00031777,573315
N00031782,2972434
N00031820,154000
N00031857,573608
N00031865,3500
N00031877,401136
N00031891,430
N00031893,937783
N00031933,588633
N00031934,392160
N00031938,29863
N00031945,1000
N00031958,544813
N00031998,17500
N00032006,605
N00032013,5000
N00032019,422510
N00032022,1161090
N00032029,555105
N00032088,1077515
N00032240,16500
N00032243,199445
N00032277,181551
N00032279,2500
N00032335,297879
N00032416,443306
N00032441,45500
N00032457,666808
N00032546,11891134
N00032555,17929
N00032681,1000
N00032771,6500
N00032838,479273
N00032847,112155
N00032872,2500
N00032880,154
N00033030,385044
N00033054,205362
N00033085,31596700
N00033091,32747994
N00033101,2734629
N00033106,1212187
N00033168,400
N00033174,13000
N00033177,501929
N00033179,2000
N00033211,20000
N00033216,5000
N00033217,669460
N00033220,191478
N00033226,3724258
N00033228,334
N00033238,4000
N00033239,1257
N00033240,498530
N00033255,5258
N00033261,2180
N00033272,20000
N00033274,443517
N00033277,1213929
N00033281,485939
N00033310,410237
