CID,amount
N00000010,266638
N00000011,1300
N00000019,3856243
N00000036,9093
N00000048,92538
N00000067,315
N00000078,448771
N00000086,602510
N00000113,2000
N00000133,12821
N00000140,38571
N00000143,271652
N00000153,442690
N00000179,307883
N00000183,1000
N00000205,100761
N00000219,500
N00000220,4818
N00000221,1000
N00000226,189274
N00000237,442
N00000243,1658
N00000245,33845
N00000254,2500
N00000255,217
N00000256,498147
N00000259,5000
N00000265,1000
N00000267,253258
N00000270,25282
N00000275,146896
N00000280,256413
N00000308,878905
N00000312,942
N00000324,27900
N00000340,907416
N00000349,147
N00000360,540198
N00000362,363652
N00000369,2000
N00000381,2000
N00000397,188427
N00000404,5500
N00000423,467975
N00000444,7479
N00000450,16000
N00000461,1074
N00000463,1500
N00000469,216118
N00000480,948234
N00000491,36299
N00000496,319698
N00000516,100356
N00000519,238
N00000528,139230
N00000534,1383096
N00000561,948054
N00000562,3000
N00000574,10100
N00000575,316562
N00000577,1837
N00000581,381517
N00000585,787887
N00000615,271497
N00000616,1006916
N00000619,1000
N00000637,1479844
N00000638,521916
N00000645,5000
N00000652,79463
N00000657,4000
N00000659,9500
N00000664,70812
N00000667,845794
N00000684,314415
N00000699,570849
N00000702,1500
N00000716,242550
N00000723,256
N00000732,4656
N00000740,931524
N00000743,78146
N00000751,347207
N00000756,355389
N00000766,757717
N00000781,611988
N00000802,2723
N00000810,2447746
N00000817,174050
N00000826,492076
N00000834,710041
N00000851,354348
N00000854,136545
N00000857,500
N00000860,1099681
N00000885,1756
N00000901,3000
N00000939,274601
N00000960,2252
N00000962,250
N00000964,1144830
N00000969,1000
N00000978,8000
N00000983,441693
N00000990,252
N00000999,3500
N00001003,497501
N00001020,450097
N00001024,291988
N00001025,1700
N00001026,12083
N00001034,11750
N00001049,347851
N00001059,252
N00001070,252
N00001074,314482
N00001082,723050
N00001093,579980
N00001101,252
N00001102,315993
N00001110,386590
N00001111,4252
N00001115,500
N00001117,1000
N00001127,373662
N00001128,1000
N00001129,1045
N00001133,2500
N00001141,2500
N00001143,306278
N00001148,546132
N00001158,4750
N00001160,46970
N00001163,2752
N00001171,200168
N00001173,500
N00001176,6325838
N00001182,662924
N00001193,349418
N00001214,279152
N00001222,319235
N00001227,1000
N00001244,593
N00001245,252
N00001261,428295
N00001265,2200
N00001267,372657
N00001276,171153
N00001281,11377
N00001290,467576
N00001295,435440
N00001305,546550
N00001308,1000
N00001311,184410
N00001312,4000
N00001329,404853
N00001339,321430
N00001371,162637
N00001373,347986
N00001374,566
N00001380,3889744
N00001395,550513
N00001399,1098489
N00001405,566
N00001408,556471
N00001413,500
N00001422,187166
N00001427,738796
N00001439,32000
N00001446,250
N00001447,164730
N00001451,1529
N00001469,343766
N00001488,200
N00001489,719499
N00001496,750
N00001504,19000
N00001505,782192
N00001509,242903
N00001510,1151926
N00001513,566
N00001518,1142
N00001519,20200
N00001520,7500
N00001529,1006339
N00001531,452740
N00001535,240376
N00001541,1000
N00001542,11064
N00001555,19500
N00001571,14666
N00001572,294392
N00001579,62616
N00001604,17429
N00001610,1000
N00001619,214024
N00001623,1750
N00001631,3566
N00001633,135844
N00001643,5566
N00001664,2068856
N00001668,200
N00001669,12796
N00001678,10387
N00001685,30000
N00001691,14020
N00001692,89874
N00001695,2000
N00001725,735015
N00001742,2500
N00001746,188197
N00001750,18811
N00001751,268271
N00001754,364561
N00001758,118706
N00001762,3750
N00001764,931409
N00001774,500
N00001776,1000
N00001781,1500
N00001783,873485
N00001784,134264
N00001800,7929
N00001805,494549
N00001806,591160
N00001811,99877
N00001813,167829
N00001817,395392
N00001821,825261
N00001823,315
N00001847,13500
N00001849,449843
N00001858,5750
N00001861,351536
N00001885,6139
N00001912,2000
N00001925,465755
N00001930,500
N00001941,315
N00001945,85500
N00001955,497546
N00001967,3371
N00001971,189628
N00001974,1000
N00001979,795193
N00001985,315
N00002012,7506
N00002014,1000
N00002017,80339
N00002045,727084
N00002051,21911
N00002055,24229
N00002057,1836691
N00002061,186329
N00002072,67538
N00002073,268177
N00002074,250
N00002083,513920
N00002087,200
N00002091,95029
N00002123,200
N00002126,276941
N00002140,41100
N00002146,66095
N00002147,172818
N00002151,182560
N00002154,150
N00002158,1000
N00002165,5000
N00002167,290357
N00002171,649287
N00002181,8129
N00002198,355562
N00002199,100
N00002200,522048
N00002210,351
N00002212,6999
N00002214,209286
N00002221,359326
N00002237,3000
N00002247,496030
N00002260,313511
N00002263,33
N00002269,513442
N00002283,13500
N00002287,9079
N00002299,634391
N00002302,270097
N00002306,1574
N00002315,1045828
N00002327,422932
N00002328,271866
N00002351,1633
N00002356,339629
N00002377,133038
N00002383,338388
N00002406,31469
N00002408,300811
N00002414,417727
N00002416,2063
N00002421,750
N00002423,158874
N00002424,2695
N00002428,214348
N00002435,5000
N00002443,2500
N00002466,500
N00002472,11499
N00002485,2500
N00002486,1000
N00002492,703250
N00002496,20000
N00002500,82458
N00002502,1000
N00002511,207141
N00002526,608187
N00002544,15670
N00002545,19585
N00002556,355926
N00002557,42688
N00002562,1000
N00002567,142197
N00002571,37234
N00002577,447462
N00002581,13500
N00002593,496817
N00002599,260378
N00002610,230453
N00002622,2881
N00002630,469574
N00002656,303851
N00002674,646328
N00002678,1500
N00002685,756796
N00002691,171781
N00002713,566007
N00002718,32929
N00002724,500
N00002733,500
N00002742,24098
N00002743,383661
N00002754,286551
N00002757,1000
N00002782,327867
N00002791,3684052
N00002793,177775
N00002807,307762
N00002821,500
N00002823,250
N00002839,307308
N00002851,1000
N00002856,149533
N00002858,155730
N00002872,224535
N00002877,1955361
N00002884,140482
N00002898,853252
N00002905,280523
N00002926,353873
