CID,amount
         ,15570.0
C00000042,450.0
C00000059,4900.0
C00000422,124142.0
C00000638,865.0
C00000729,332819.0
C00000885,9910.0
C00000901,203788.0
C00000935,5432732.0
C00000984,6500.0
C00001016,7963.0
C00001180,2600.0
C00001198,251576.0
C00001214,77509.0
C00001305,77005.0
C00001313,60393.0
C00001347,1200.0
C00001388,12951.0
C00001461,750.0
C00001636,10774.0
C00001727,7500.0
C00001917,9517.0
C00002089,293.0
C00002147,300.0
C00002238,14766.0
C00002261,58692.0
C00002469,41928.0
C00002766,4103.0
C00002790,310.0
C00002840,12418.0
C00002881,98996.0
C00002972,118791.0
C00003111,20800.0
C00003152,5845.0
C00003160,644.0
C00003210,750.0
C00003251,34351.0
C00003327,21100.0
C00003418,5107854.0
C00003590,1036.0
C00003632,9787.0
C00003764,111324.0
C00003806,260.0
C00003855,4850.0
C00003970,1750.0
C00003988,23247.0
C00004036,1202.0
C00004101,6300.0
C00004275,22169.0
C00004325,6581.0
C00004473,13840.0
C00004606,9878.0
C00004812,129191.0
C00004861,600.0
C00004879,3400.0
C00004994,8770.0
C00005132,1550.0
C00005157,16906.0
C00005173,2400.0
C00005249,36594.0
C00005462,5135.0
C00005488,500.0
C00005561,263392.0
C00005660,76525.0
C00005785,2200.0
C00005926,19800.0
C00006080,184021.0
C00006486,74727.0
C00007070,7240.0
C00007450,11961.0
C00007542,19356.0
C00007658,36377.0
C00007880,44691.0
C00007898,10573.0
C00007922,6121.0
C00007948,16280.0
C00008086,33674.0
C00008151,3735.0
C00008227,153725.0
C00008268,450.0
C00008409,10000.0
C00008474,21647.0
C00008664,20278.0
C00008748,1361.0
C00008839,18884.0
C00009282,86575.0
C00009357,4000.0
C00009423,13759.0
C00009639,1290.0
C00009704,17600.0
C00009845,63603.0
C00009936,5473.0
C00009985,203389.0
C00010033,25612.0
C00010082,110712.0
C00010124,17000.0
C00010322,165323.0
C00010363,4150.0
C00010421,112975.0
C00010439,12455.0
C00010470,92124.0
C00010603,5323034.0
C00010793,7350.0
C00010868,70454.0
C00010983,1250.0
C00011114,8114.0
C00011197,505067.0
C00011262,3539.0
C00011544,15425.0
C00011627,500.0
C00011643,845.0
C00012211,250.0
C00012245,135313.0
C00012328,15000.0
C00012468,5180.0
C00012484,3150.0
C00012880,65320.0
C00012914,93324.0
C00013342,1000.0
C00013748,22895.0
C00013961,43466.0
C00014019,1150.0
C00014092,4900.0
C00014498,358563.0
C00014555,25964.0
C00014878,6100.0
C00015552,34175.0
C00015594,4912.0
C00015933,6065.0
C00016386,9700.0
C00016444,5778.0
C00016683,68862.0
C00016899,91140.0
C00017525,6406.0
C00017681,1232.0
C00018028,4457.0
C00018036,197.0
C00018929,22940.0
C00018945,501.0
C00019331,41692.0
C00019380,82811.0
C00019653,9049.0
C00020453,2500.0
C00020818,1410.0
C00021121,9429.0
C00021295,17357.0
C00021972,10665.0
C00022343,149962.0
C00022368,24045.0
C00022756,250.0
C00022988,500.0
C00023028,20314.0
C00023580,4885.0
C00023838,76315.0
C00024281,8588.0
C00024349,6450.0
C00024372,285249.0
C00024521,153825.0
C00024679,132627.0
C00024752,3295.0
C00024869,118205.0
C00024968,78121.0
C00025254,217560.0
C00025395,788.0
C00025668,720.0
C00027342,1400.0
C00027359,850.0
C00027466,1734430.0
C00027532,38754.0
C00028787,47266.0
C00028860,57366.0
C00029348,37682.0
C00029447,53081.0
C00029504,15419.0
C00030676,2466.0
C00030718,372195.0
C00030809,44700.0
C00031054,173779.0
C00031088,68584.0
C00032334,11150.0
C00032698,61192.0
C00032797,6095.0
C00032979,1556.0
C00032995,1369.0
C00033134,498070.0
C00033589,1875.0
C00033704,4566.0
C00033779,58500.0
C00033795,300.0
C00033969,7984.0
C00033977,-1000.0
C00034033,202105.0
C00034132,15656.0
C00034157,74296.0
C00034272,5700.0
C00034298,4011.0
C00034330,1872.0
C00034355,370.0
C00034405,31021.0
C00034470,43848.0
C00034488,62924.0
C00034595,20424.0
C00034645,200.0
C00034678,5750.0
C00034785,53791.0
C00034827,1324.0
C00034884,7928.0
C00034934,1100.0
C00035006,28192.0
C00035204,36225.0
C00035253,1230.0
C00035451,11689.0
C00035519,3674.0
C00035535,26000.0
C00035600,383234.0
C00035618,64487.0
C00035675,11693.0
C00035683,57304.0
C00035691,33739.0
C00035774,7000.0
C00038505,507794.0
C00038604,22374.0
C00039016,200.0
C00039040,4336.0
C00039164,5274.0
C00039206,1000.0
C00039214,6765.0
C00039305,-4542.0
C00039461,9104.0
C00039503,3400.0
C00039552,500.0
C00039578,80633.0
C00039941,850.0
C00040220,79950.0
C00040253,1780.0
C00040279,7593.0
C00040329,24262.0
C00040394,7575.0
C00040535,31000.0
C00040568,7150.0
C00040584,6622.0
C00040659,3471.0
C00040725,11662.0
C00040741,600.0
C00040840,400.0
C00040857,26312.0
C00040923,9568.0
C00040998,610240.0
C00041038,800.0
C00041061,3250.0
C00041160,177201.0
C00041269,160776.0
C00041566,14350.0
C00041590,1250.0
C00041608,4214.0
C00041954,1000.0
C00042002,22789.0
C00042069,3925.0
C00042366,1421276.0
C00042622,309601.0
C00043059,325.0
C00043091,10250.0
C00043265,500.0
C00043463,1550.0
C00043471,300.0
C00043489,400.0
C00043992,1750.0
C00044776,141279.0
C00044842,47794.0
C00044990,44555.0
C00045781,4750.0
C00046086,7550.0
C00046474,67923.0
C00048165,3039.0
C00048181,3912.0
C00048702,1757.0
C00051979,29858.0
C00053553,130065.0
C00055582,28295.0
C00056523,500.0
C00059238,3075.0
C00059733,3472.0
C00060103,24021.0
C00062646,9892.0
C00062836,14160.0
C00063164,47500.0
C00064766,24251.0
C00064774,1000.0
C00065219,10250.0
C00065870,5191.0
C00065987,3094.0
C00066472,84009.0
C00067231,161162.0
C00067884,11874.0
C00068056,919.0
C00068452,700.0
C00068528,23299.0
C00068692,18704.0
C00071365,166605.0
C00072025,15232.0
C00072751,10500.0
C00072769,2232.0
C00072967,300.0
C00073056,11193.0
C00073627,2499.0
C00073791,16668.0
C00074096,36014.0
C00074450,68690.0
C00074633,1203.0
C00074799,1350.0
C00075291,1963.0
C00075341,260.0
C00075820,2188674.0
C00075994,1176.0
C00076174,1450.0
C00076182,27610.0
C00076299,91946.0
C00076588,600.0
C00076810,17996.0
C00076893,250.0
C00077305,5534.0
C00077321,174160.0
C00077552,4135.0
C00077701,2348.0
C00078196,250.0
C00078261,13200.0
C00078287,6380.0
C00079541,54543.0
C00079566,18000.0
C00079681,15237.0
C00079855,500.0
C00080135,2051.0
C00080515,3322.0
C00080648,1850.0
C00081414,19875.0
C00081422,4150.0
C00081547,3500.0
C00082040,11500.0
C00082271,6050.0
C00082636,985.0
C00082677,13800.0
C00082792,23848.0
C00082800,1239.0
C00082834,44315.0
C00082917,68370.0
C00082925,3660.0
C00083279,27780.0
C00083535,8043.0
C00083758,4441.0
C00083790,800.0
C00083832,210.0
C00083857,2911.0
C00084368,32294.0
C00084475,20505.0
C00084491,70048.0
C00084822,5641.0
C00084954,24261.0
C00085019,290.0
C00085506,11776.0
C00085910,2210.0
C00086256,957.0
