CID,amount
         ,26025
C00000422,352019
C00000638,2810
C00000729,205256
C00000885,176452
C00000901,709690
C00000935,25057018
C00000984,51750
C00001008,31415
C00001016,35372
C00001180,35375
C00001198,132443
C00001214,275339
C00001305,353007
C00001313,734591
C00001347,33300
C00001388,53905
C00001461,5900
C00001636,19864
C00001727,27750
C00001776,3550
C00001917,9245
C00002089,8531
C00002147,3200
C00002238,69966
C00002261,203694
C00002469,223308
C00002766,22350
C00002790,3700
C00002840,63822
C00002881,313930
C00002956,22928
C00002972,199872
C00003111,138795
C00003152,13900
C00003160,5904
C00003194,5000
C00003251,38374
C00003327,109168
C00003418,99912193
C00003558,10000
C00003590,3280
C00003632,1563
C00003764,224120
C00003855,550
C00003970,52400
C00003988,184039
C00004036,1959
C00004101,3500
C00004275,133481
C00004325,30647
C00004473,229356
C00004606,47541
C00004812,433696
C00004861,2566
C00004879,39566
C00004994,22341
C00005157,38925
C00005173,136083
C00005249,213279
C00005462,11534
C00005488,1000
C00005561,3266723
C00005660,117118
C00005785,101136
C00005926,260690
C00006080,971902
C00006486,362979
C00007070,12844
C00007450,72760
C00007542,16600
C00007658,119019
C00007880,111620
C00007898,60428
C00007922,7342
C00007948,26077
C00008086,175752
C00008227,204527
C00008268,850
C00008474,88410
C00008664,147894
C00008748,1584
C00008839,341251
C00009282,237962
C00009357,18000
C00009423,23848
C00009704,52360
C00009845,48738
C00009936,26204
C00009985,550625
C00010033,245457
C00010082,785433
C00010124,67425
C00010322,42695
C00010363,3600
C00010421,1070412
C00010439,35854
C00010470,223619
C00010603,50139192
C00010793,60400
C00010868,461432
C00010983,9001
C00011114,33689
C00011197,1241222
C00011262,1680
C00011544,93350
C00011643,6696
C00012211,600
C00012245,252839
C00012310,28250
C00012328,84100
C00012401,10200
C00012468,50207
C00012484,19700
C00012518,832
C00012880,221113
C00012914,264606
C00013342,2070
C00013748,135590
C00013961,182847
C00014019,3550
C00014498,164505
C00014555,88383
C00014878,31210
C00015552,78400
C00015594,10625
C00015933,56424
C00016386,190850
C00016444,35825
C00016683,297375
C00016899,689421
C00017194,854
C00017525,44912
C00017558,17750
C00017681,2666
C00018028,114626
C00018036,7637
C00018929,48013
C00018945,13708
C00019331,366849
C00019380,96803
C00019653,41724
C00020818,53714
C00021121,14583
C00021295,68272
C00021972,1250
C00022343,658776
C00022368,106851
C00022988,1500
C00023028,243251
C00023580,16965
C00023838,393372
C00024281,101020
C00024349,38978
C00024372,286585
C00024422,1165
C00024521,805688
C00024679,124467
C00024752,9550
C00024869,401222
C00024935,500
C00024968,456064
C00025254,707510
C00025395,2254
C00025668,960
C00027342,200
C00027359,1500
C00027466,69000
C00027532,118366
C00028787,227977
C00028860,11025
C00029348,129678
C00029447,816970
C00029504,51986
C00030676,6481
C00030718,539370
C00030734,29500
C00030809,153720
C00031054,1817505
C00031088,138203
C00032334,90940
C00032607,2513
C00032698,459200
C00032797,18653
C00032979,28040
C00032995,5535
C00033134,312390
C00033704,6740
C00033779,346000
C00033795,8750
C00033969,19850
C00033977,9000
C00034033,140900
C00034132,161665
C00034157,309516
C00034173,1200
C00034256,2067
C00034272,97880
C00034298,21453
C00034330,6448
C00034405,114885
C00034470,6331
C00034488,73813
C00034595,31738
C00034645,987
C00034678,66468
C00034785,237672
C00034827,3250
C00034884,27047
C00034934,6500
C00035006,23385
C00035204,75341
C00035253,12280
C00035451,21140
C00035519,15546
C00035535,61750
C00035600,358572
C00035618,134447
C00035675,27442
C00035683,59542
C00035691,67384
C00035766,500
C00035774,28750
C00038505,435764
C00038604,30026
C00038927,310
C00039016,3280
C00039040,23882
C00039123,2000
C00039206,7180
C00039214,9591
C00039305,3384
C00039321,12288
C00039461,31506
C00039503,1250
C00039552,2250
C00039578,294097
C00039941,3350
C00040220,412820
C00040238,500
C00040253,6248
C00040279,77680
C00040329,121067
C00040394,8974
C00040535,307287
C00040568,21610
C00040584,13208
C00040659,14399
C00040725,77980
C00040741,5490
C00040840,11150
C00040857,2500
C00040923,35056
C00040998,572370
C00041038,1200
C00041061,31260
C00041160,591462
C00041236,12000
C00041269,32062
C00041376,47870
C00041566,65757
C00041590,18400
C00041608,28400
C00041954,250
C00042002,72703
C00042069,56649
C00042366,830403
C00042622,5084189
C00042895,5500
C00043091,36917
C00043265,750
C00043463,34661
C00043489,20184
C00043919,16500
C00043992,22800
C00044776,627206
C00044842,580526
C00044990,256494
C00045781,46100
C00046086,52000
C00046474,167950
C00048165,45833
C00048181,36647
C00048579,390
C00048702,14929
