CID,amount
N00000036,4500
N00000078,726840
N00000133,156117
N00000153,1496968
N00000179,377357
N00000183,17559
N00000205,4000
N00000226,802216
N00000259,3000
N00000267,571750
N00000270,6648716
N00000286,224182
N00000362,1627641
N00000405,1000
N00000423,38207
N00000491,3223484
N00000515,771741
N00000528,46328
N00000561,2000
N00000575,1248471
N00000581,59604
N00000615,636496
N00000684,653544
N00000699,190974
N00000703,6496
N00000716,32564
N00000738,504152
N00000743,987740
N00000751,996231
N00000775,500
N00000781,5273007
N00000826,419009
N00000851,1601363
N00000860,831345
N00000871,154411
N00000898,636190
N00000939,471531
N00000962,1000
N00000964,504120
N00001003,478710
N00001024,521076
N00001093,957101
N00001102,362121
N00001127,1805193
N00001148,226010
N00001157,516
N00001171,846701
N00001193,545017
N00001285,453157
N00001311,612136
N00001373,666614
N00001469,250
N00001489,1328989
N00001543,4000
N00001555,55500
N00001579,308263
N00001619,383899
N00001633,1067733
N00001669,6285
N00001691,10
N00001692,284386
N00001709,353
N00001725,500
N00001746,346773
N00001758,443888
N00001783,373403
N00001811,791481
N00001813,174760
N00001817,102048
N00001821,2574877
N00001861,428752
N00001945,576928
N00001955,363350
N00001971,627004
N00002039,3500
N00002061,12600
N00002073,123650
N00002083,428100
N00002097,3633416
N00002147,381994
N00002167,450
N00002198,6850112
N00002221,277149
N00002247,72000
N00002260,484729
N00002299,928751
N00002328,8500
N00002356,573132
N00002408,1838840
N00002424,1323700
N00002526,65900
N00002577,614679
N00002581,4500
N00002593,779887
N00002610,500
N00002641,917867
N00002656,5651710
N00002659,1099
N00002674,856228
N00002685,14000
N00002713,334375
N00002776,3000
N00002793,471923
N00002858,448772
N00002872,7000
N00002884,374765
N00002893,412343
N00002942,321
N00002982,3000
N00003028,772833
N00003062,1264395
N00003105,1257288
N00003126,1000
N00003132,314750
N00003159,10
N00003209,338574
N00003225,480924
N00003264,11200
N00003280,93103
N00003288,942085
N00003328,9339508
N00003350,4000
N00003389,18135044
N00003467,1473200
N00003473,960850
N00003504,1000
N00003522,686632
N00003535,829449
N00003569,2500
N00003675,3671755
N00003682,1223455
N00003689,391474
N00003758,5000
N00003765,1000
N00003796,500
N00003813,631998
N00003845,458100
N00003950,1105706
N00004029,615838
N00004057,22402
N00004070,53461
N00004118,351517
N00004133,5250072
N00004207,8000
N00004208,417
N00004227,873925
N00004243,5000
N00004291,238371
N00004357,2358333
N00004367,298451
N00004394,1374
N00004403,1568727
N00004426,321250
N00004436,1290536
N00004558,6521445
N00004565,687810
N00004572,928329
N00004578,2208212
N00004614,657119
N00004643,746267
N00004645,324724
N00004719,1946384
N00004723,1000
N00004724,376504
N00004762,14323
N00004851,45
N00004872,3000
N00004874,231200
N00004884,476071
N00004887,376510
N00004956,26650
N00004961,1669500
N00004975,1000
N00004981,2541415
N00005030,85
N00005092,2800
N00005181,3000
N00005195,911529
N00005233,6000
N00005244,2000
N00005282,745868
N00005285,12374955
N00005293,1588034
N00005321,3537941
N00005395,16498743
N00005437,32000
N00005459,2513826
N00005559,1000144
N00005582,1413214
N00005601,2000
N00005645,802313
N00005656,658395
N00005681,1615956
N00005736,508562
N00005818,204485
N00005852,9000
N00005870,831945
N00005883,1713449
N00005888,1000
N00005918,1287651
N00005988,500
N00006008,382371
N00006023,401614
