CID,amount
N00000010,213324
N00000019,1906802
N00000036,37093
N00000048,12500
N00000078,452079
N00000133,91150
N00000140,2500
N00000143,305820
N00000153,381997
N00000179,224284
N00000183,1000
N00000205,21213
N00000226,178238
N00000243,5000
N00000245,669205
N00000267,353962
N00000270,443752
N00000275,818033
N00000280,281050
N00000308,1092570
N00000316,3000
N00000360,523205
N00000362,244233
N00000397,487012
N00000423,1585877
N00000444,83000
N00000469,372996
N00000480,1386104
N00000491,125375
N00000515,1051758
N00000528,760051
N00000534,12154
N00000561,5714838
N00000575,632949
N00000581,493116
N00000596,10200
N00000615,501557
N00000616,3141645
N00000637,1000
N00000652,3084235
N00000659,188100
N00000684,395602
N00000699,4020909
N00000716,343180
N00000743,432825
N00000751,473869
N00000766,1423151
N00000781,1512043
N00000812,1800
N00000826,690581
N00000834,470361
N00000851,636793
N00000854,13500
N00000860,326799
N00000939,263629
N00000962,1000
N00000964,1201158
N00000983,787506
N00001003,441992
N00001020,1343417
N00001024,279304
N00001025,1000
N00001074,19150
N00001082,753582
N00001093,12000
N00001102,436116
N00001110,207123
N00001127,1053566
N00001129,500
N00001143,322637
N00001148,526994
N00001171,592763
N00001193,680763
N00001214,290648
N00001222,212936
N00001261,1127532
N00001267,239089
N00001276,434760
N00001295,2608972
N00001311,302229
N00001373,480025
N00001380,6701640
N00001395,60
N00001408,820836
N00001422,308285
N00001427,962721
N00001469,684228
N00001509,719532
N00001510,2284809
N00001519,2000
N00001529,2750
N00001535,3410807
N00001579,589017
N00001604,259238
N00001619,275328
N00001633,310233
N00001669,31936
N00001685,202250
N00001691,95600
N00001692,190187
N00001725,405930
N00001746,312875
N00001758,298964
N00001762,30500
N00001764,870085
N00001783,1192344
N00001799,90989
N00001806,837490
N00001811,429007
N00001813,159045
N00001817,330784
N00001821,1724123
N00001849,521181
N00001861,506183
N00001945,148975
N00001955,4814890
N00001971,468522
N00001979,23500
N00002012,14226
N00002017,144093
N00002045,922178
N00002047,1565
N00002061,16000
N00002073,532020
N00002083,472742
N00002091,203198
N00002147,251527
N00002167,286085
N00002171,965229
N00002198,289849
N00002200,1437487
N00002213,128465
N00002214,697065
N00002221,331745
N00002247,373410
N00002260,372028
N00002269,445052
N00002283,2221
N00002299,289550
N00002315,1467021
N00002327,622361
N00002328,470946
N00002334,400
N00002348,26500
N00002356,408664
N00002383,1256099
N00002408,852628
N00002424,620
N00002428,199241
N00002460,189537
N00002472,466228
N00002492,1416327
N00002511,148413
N00002556,912280
N00002577,451811
N00002593,245505
N00002599,350560
N00002610,833945
N00002630,658912
N00002656,486479
N00002674,447501
N00002685,549412
N00002713,290370
N00002742,454
N00002743,689540
N00002782,520319
N00002793,369592
N00002807,273064
N00002856,18750
N00002858,350379
N00002872,289856
N00002877,4600311
N00002884,165070
N00002898,773874
N00002905,246405
N00002926,17026
N00002934,460963
N00002942,1000
N00002982,83214
N00003028,310043
N00003042,496276
N00003062,235300
N00003083,400559
N00003105,552462
N00003126,706950
N00003132,276403
N00003147,8977
N00003159,344377
N00003166,97705
N00003192,11100
N00003202,34794
N00003209,443255
N00003218,10048602
N00003225,274662
N00003254,924529
N00003258,153481
N00003264,571903
N00003280,348222
N00003288,905242
N00003328,232000
N00003329,1536645
N00003341,837052
N00003350,271250
N00003389,1103497
