CID,amount
         ,3800
C00000422,294632
C00000638,500
C00000729,72930
C00000885,13073
C00000901,229187
C00000935,2360631
C00000984,33800
C00001008,5650
C00001016,27969
C00001180,25600
C00001198,24137
C00001214,113351
C00001305,63957
C00001313,189542
C00001347,4300
C00001388,4239
C00001420,1250
C00001461,500
C00001636,4657
C00001727,10750
C00001818,550
C00001875,3020
C00001917,6435
C00002089,2835
C00002238,3119
C00002261,39000
C00002469,33872
C00002766,3156
C00002790,273
C00002840,7440
C00002881,126491
C00002956,3756
C00002972,193664
C00003111,4280
C00003152,1000
C00003160,826
C00003194,345
C00003251,48831
C00003327,7150
C00003418,21521675
C00003558,40975
C00003590,-4750
C00003632,739
C00003764,227676
C00003806,980
C00003970,3750
C00003988,28660
C00004036,4739
C00004101,2625
C00004275,18103
C00004325,3297
C00004473,10691
C00004606,12311
C00004812,66675
C00004861,600
C00004879,2000
C00004994,5250
C00005132,1750
C00005173,50511
C00005249,77472
C00005462,2250
C00005561,85244
C00005660,38560
C00005785,71950
C00005926,311730
C00006080,58025
C00006486,343267
C00007070,4064
C00007450,9996
C00007542,10400
C00007658,63523
C00007880,15708
C00007898,9242
C00007922,2648
C00007948,25300
C00008086,23876
C00008227,69820
C00008268,3860
C00008409,265
C00008474,51644
C00008664,57165
C00008839,51550
C00009282,50331
C00009423,4556
C00009639,2769
C00009704,11073
C00009845,10311
C00009936,5922
C00009985,30660
C00010033,20786
C00010082,69050
C00010124,7000
C00010322,64756
C00010363,2150
C00010421,146525
C00010439,29137
C00010470,133407
C00010603,8471888
C00010710,510
C00010793,7350
C00010868,27250
C00010983,12502
C00011114,11666
C00011197,195309
C00011221,1400
C00011544,5125
C00011627,900
C00011643,250
C00012245,76575
C00012310,12450
C00012328,26000
C00012401,1250
C00012468,1024
C00012476,200
C00012484,5300
C00012518,3248
C00012880,87933
C00012914,13775
C00013672,3700
C00013748,37145
C00013961,24485
C00014019,1500
C00014092,10950
C00014498,24000
C00014555,41250
C00014878,500
C00015552,9850
C00015594,11100
C00015933,2152
C00016386,10900
C00016444,800
C00016683,19574
C00016899,375658
C00017525,7238
C00017558,9385
C00018028,16932
C00018929,9230
C00018945,933
C00019083,4970
C00019331,38926
C00019380,13068
C00019653,4435
C00020818,719033
C00021121,1073
C00021295,11452
C00021972,624
C00022343,110500
C00022368,9750
C00022988,900
C00023028,12039
C00023580,39208
C00023838,45346
C00024281,11150
C00024299,1375
C00024349,2556
C00024372,11016
C00024521,240926
C00024679,106731
C00024752,1566
C00024869,58052
C00024935,740
C00024968,35495
C00025254,52575
C00025395,619
C00025668,240
C00027359,700
C00027466,1519641
C00027532,27282
C00028787,8937
C00028860,494
C00029348,4832
C00029447,114227
C00029504,4354
C00030007,5000
C00030593,5799
C00030676,4112
C00030718,103661
C00030734,13050
C00030809,24375
C00031054,363139
C00031088,110340
C00032334,35150
C00032573,416
C00032698,41148
C00032979,10507
C00032995,1455
C00033134,170450
C00033423,3164
C00033456,260
C00033555,600
C00033589,1150
C00033704,1116
C00033779,43500
C00033795,500
C00033969,7437
C00034033,56550
C00034132,13888
C00034157,76823
C00034173,18110
C00034256,765
C00034272,2650
C00034298,7738
C00034355,5000
C00034405,30452
C00034470,725
C00034488,125223
C00034595,8230
C00034678,22350
C00034785,29075
C00034827,684
C00034876,400
C00034934,600
C00035006,2880
C00035204,8550
C00035253,1500
C00035451,811
C00035600,417152
C00035618,8700
C00035675,4758
C00035683,30210
C00035691,4541
C00035766,250
C00035774,5000
C00038505,76175
C00038604,13600
C00039016,1120
C00039040,1832
C00039057,2828
C00039123,500
C00039164,500
C00039206,13750
C00039214,650
C00039305,28773
C00039461,940
C00039503,2040
C00039552,580
C00039578,165174
C00039941,500
C00040220,37045
C00040253,-590
C00040279,6990
C00040329,9000
C00040394,2786
C00040535,18000
C00040550,-3231
C00040568,10194
C00040659,1560
C00040725,5600
C00040741,465
C00040857,1230
C00040923,11867
C00040998,204055
C00041038,600
C00041061,16686
C00041160,132807
C00041236,1425
C00041269,97255
C00041566,5000
C00041947,300
C00042002,15906
C00042069,13816
C00042366,3015343
C00042622,26550
C00043059,1250
C00043463,2865
C00043489,1885
C00043687,4946
C00043919,550
C00043992,3000
C00044776,51194
C00044818,2275
C00044842,178053
C00044990,21980
C00045781,12000
C00046086,-150
C00046474,28357
C00048165,14020
C00048181,1000
C00051979,7677
C00053553,80680
C00055582,143690
C00059238,600
C00059733,10215
C00059832,17750
C00059907,900
C00060103,2105
C00060707,1010
C00063164,24225
C00064766,18354
C00064774,4412
C00065219,12750
C00065870,1550
C00065987,500
C00066472,15525
C00067231,19250
C00067884,8558
C00068056,300
C00068528,12693
C00068692,7600
C00071365,18600
C00072025,10141
C00072769,22584
C00073056,4300
C00073791,36115
C00074096,3166
C00074450,171787
C00074633,500
C00074799,1050
C00075275,1500
C00075291,1050
C00075820,6908898
C00075994,1715
C00076133,208
C00076182,2440
C00076299,113106
C00076588,200
C00076737,1152
C00076810,16508
C00077305,1529
C00077321,17227
C00077362,500
C00077552,2650
C00077701,1672
C00078261,709
C00078287,2550
C00079541,51102
C00079566,2033
C00079681,7350
C00079855,5200
C00080135,1273
C00080515,600
C00080648,750
C00080721,383
C00081414,48993
C00081422,1000
C00081455,882
C00082040,11701
C00082271,3800
C00082636,2265
C00082792,18302
C00082800,2101
C00082834,2625
C00082917,65500
C00082925,146295
C00083279,6905
C00083535,11661
C00083758,1092
C00083790,750
C00083857,641
C00084368,70225
C00084475,10528
C00084491,20792
C00084822,3295
C00084871,4045
C00084954,79340
C00085019,1580
C00085316,202
C00085506,36400
C00085910,2384
C00085977,1750
C00086355,1450
C00086611,3500
C00087874,1200
C00088591,10312
C00089086,2845
C00089136,17315
C00089243,39615
C00089342,2912
C00089458,41000
C00089482,6800
C00089987,500
C00090415,500
C00091561,200
C00092247,3000
C00092957,13392
C00093054,5500
C00093179,1500
C00093948,3032
C00093963,5957
C00093989,221
C00094581,225
C00094896,30621
C00095059,27084
C00095109,1250
C00095869,22000
C00096156,37715
C00096842,43177
C00097238,1720
C00097485,39087
C00097550,-3456
C00097568,3537
C00097725,10000
C00097758,1739
C00097865,2050
C00098061,5800
C00099002,850
C00099259,811560
C00099267,52359
C00099754,550
C00100107,2456
C00100131,850
C00100321,201
C00100404,6698
C00100644,1950
C00100693,31700
C00100974,1875
C00101105,124835
C00101204,39365
