CID,amount
N00005656,1489871
N00005675,171500
N00005677,2773855
N00005681,2390271
N00005724,2233977
N00005731,199250
N00005761,1250
N00005794,3593765
N00005818,215416
N00005835,1000
N00005855,70530
N00005870,494000
N00005883,586210
N00005892,1692748
N00005906,30099
N00005912,500
N00005928,3613368
N00005958,344
N00005960,423761
N00005985,1051223
N00005998,190140
N00006008,300172
N00006023,293324
N00006031,14500
N00006052,136213
N00006055,474
N00006060,1998285
N00006067,317550
N00006085,886652
N00006103,93583
N00006118,500
N00006120,5000
N00006134,342008
N00006182,98511
N00006202,599466
N00006213,49386
N00006242,680853
N00006246,102448
N00006249,139500
N00006263,455418
N00006264,500
N00006267,1351300
N00006312,500
N00006347,1225788
N00006349,486031
N00006397,479730
N00006401,2000
N00006406,373576
N00006423,387947
N00006424,655387
N00006425,465531
N00006436,23500
N00006455,531296
N00006473,2000
N00006486,467979
N00006515,65500
N00006518,248626
N00006546,1854410
N00006561,163780
N00006619,412863
N00006652,388258
N00006671,282939
N00006690,117953
N00006692,7474623
N00006750,363693
N00006789,219805
N00006805,48
N00006806,1000
N00006811,269707
N00006832,3500
N00006882,355149
N00006897,357321
N00006932,493682
N00006954,396684
N00006980,5000
N00006983,483223
N00007017,407238
N00007021,7370
N00007033,336741
N00007050,427106
N00007068,254831
N00007084,15000
N00007087,734646
N00007089,337915
N00007093,11000
N00007099,291989
N00007124,494564
N00007151,160704
N00007206,500
N00007231,152512
N00007232,394122
N00007248,281095
N00007256,1268665
N00007312,336823
N00007335,528903
N00007360,843969
N00007364,453123
N00007377,41790
N00007382,226163
N00007390,454081
N00007397,301102
N00007419,467618
N00007422,457657
N00007458,265085
N00007479,293955
N00007502,5000
N00007507,371311
N00007516,591916
N00007556,276006
N00007571,1041824
N00007581,98097
N00007584,395390
N00007606,5306
N00007615,6500
N00007632,24000
N00007635,4500
N00007653,9000
N00007665,564803
N00007690,560779
N00007700,973151
N00007724,1153110
N00007727,343787
N00007730,500
N00007781,318498
N00007789,644
N00007815,325718
N00007823,284350
N00007826,1250
N00007833,361290
N00007836,40150
N00007876,2453993
N00007918,416886
N00007936,331833
N00007962,200
N00007997,124250
N00007999,933486
