CID,amount
         ,34010
C00000042,5950
C00000372,7048
C00000422,1581276
C00000547,1000
C00000638,4690
C00000729,101796
C00000794,14500
C00000885,51905
C00000901,497261
C00000935,16685609
C00000984,162361
C00001008,68050
C00001016,100829
C00001180,30475
C00001198,114245
C00001214,305811
C00001305,420010
C00001313,838158
C00001347,500
C00001388,19484
C00001420,12100
C00001461,8350
C00001636,32355
C00001685,123070
C00001727,11400
C00001818,17150
C00001875,69640
C00001917,51312
C00002089,13451
C00002238,23036
C00002261,14950
C00002469,248411
C00002766,59837
C00002790,1080
C00002840,64290
C00002881,298081
C00002956,32920
C00002972,118623
C00003061,500
C00003111,106127
C00003152,27950
C00003194,5125
C00003210,1850
C00003251,553315
C00003327,48975
C00003418,52527304
C00003558,294580
C00003632,38776
C00003756,23400
C00003764,810902
C00003806,1460
C00003830,36608
C00003855,31050
C00003897,6550
C00003970,18975
C00003988,163369
C00004036,53394
C00004101,70025
C00004275,80800
C00004325,44144
C00004473,3916
C00004499,990
C00004515,7228
C00004606,174406
C00004812,185131
C00004861,8394
C00004879,75250
C00004994,10000
C00005132,5700
C00005157,550
C00005173,24783
C00005462,9740
C00005488,21119
C00005561,2825684
C00005660,82500
C00005785,146797
C00005801,3800
C00005926,669065
C00006080,956923
C00006338,3104
C00006486,1617473
C00007070,22784
C00007450,63985
C00007542,147940
C00007658,168254
C00007880,136021
C00007898,64613
C00007922,1348
C00007948,5000
C00008086,54185
C00008110,6769
C00008151,25000
C00008227,150871
C00008268,15738
C00008474,186697
C00008664,1277782
C00008839,106174
C00008896,750
C00009282,25483
C00009357,24750
C00009423,11610
C00009449,4450
C00009639,5380
C00009704,32000
C00009795,17500
C00009936,5718
C00009985,129981
C00010082,126400
C00010124,32200
C00010322,116859
C00010363,78600
C00010421,590278
C00010470,276059
C00010488,1500
C00010520,225
C00010603,76296119
C00010710,4028
C00010793,78350
C00010868,177964
C00010983,27355
C00011114,42571
C00011197,757146
C00011221,12800
C00011262,978
C00011338,2940
C00011544,36276
C00011627,2225
C00011643,925
C00011957,527
C00012245,267331
C00012310,13000
C00012328,34900
C00012401,4900
C00012468,6400
C00012476,10000
C00012484,17050
C00012518,18396
C00012880,163170
C00012914,103621
C00013342,1425
C00013672,119088
C00013748,157639
C00013961,145106
C00014019,300
C00014092,56400
C00014498,1355580
C00014555,162734
C00014878,13800
C00015024,687678
C00015552,146145
C00015594,59597
C00015933,9666
C00016386,11400
C00016444,25000
C00016683,204843
C00016899,1724538
C00017194,41500
C00017244,1500
C00017525,4800
C00017558,16645
C00017681,15225
C00018028,81400
C00018929,76058
C00018945,61495
C00019083,1956
C00019331,262134
C00019380,583855
C00019653,43700
C00020453,2250
C00020818,95742
C00021121,1601472
C00021295,34674
C00021972,4800
C00022178,1250
C00022343,405662
C00022368,23900
C00022517,4023
C00022988,55303
C00023028,106083
C00023580,128899
C00023838,37588
C00024281,62800
C00024299,11656
C00024349,24490
C00024372,36129
C00024455,2000
C00024521,762057
C00024679,243601
C00024752,750
C00024869,374673
C00024968,127117
C00025023,11500
C00025254,314352
C00025346,6635
C00025395,10757
C00025536,2750
C00025668,13000
C00027144,1900
C00027342,782
C00027359,2816
C00027466,8744402
C00027532,147192
C00028670,1650
C00028787,1905
C00028860,4920
C00029348,22665
C00029447,291272
C00029504,14201
C00030593,10400
C00030676,14100
C00030718,499490
C00030734,7255
C00030809,1300
C00031054,1301804
C00031088,127375
C00032334,159215
C00032441,1000
C00032573,6540
C00032607,6250
C00032698,316738
C00032995,2036
C00033134,738431
C00033423,2520
C00033456,31311
C00033589,30542
C00033704,2400
C00033779,108200
C00033795,2900
C00033969,47062
C00033977,17406
C00034033,258132
C00034041,10293
C00034132,48971
C00034157,241991
C00034173,27900
C00034272,72074
C00034298,21680
C00034355,5000
C00034405,12794
C00034470,3316
C00034488,456745
C00034595,39429
C00034678,39563
C00034728,4000
C00034785,42220
C00034827,3075
C00034876,1000
C00034884,34507
C00034934,7700
C00035006,26936
C00035048,869
C00035204,73613
C00035253,1230
C00035451,19250
C00035519,5200
C00035600,141164
C00035618,43651
C00035675,50003
C00035683,23178
C00035691,67801
C00035766,17450
C00035774,59000
C00038505,88031
C00038604,56016
C00038612,5039
C00038927,1800
C00039016,5260
C00039040,4668
C00039057,10800
C00039123,4400
C00039131,4100
C00039164,11678
C00039206,14389
C00039214,24565
C00039305,113959
C00039321,2900
C00039461,12080
C00039552,6437
C00039578,215925
C00039941,3020
C00040170,3217
C00040220,518220
C00040238,800
C00040253,35061
C00040279,550
C00040329,7550
C00040394,1882
C00040535,95050
C00040550,50544
C00040568,8100
C00040584,13450
C00040659,25870
C00040725,24250
C00040741,4758
C00040840,4300
C00040857,870
C00040923,50416
C00040998,1592323
C00041038,200
C00041061,33896
C00041160,1179086
C00041236,5525
C00041269,314981
C00041376,62277
C00041566,30750
C00041590,6325
C00041608,265
C00041947,9278
C00042002,45067
C00042069,6278
C00042366,20550973
C00042424,250
C00042895,1800
C00042960,2550
C00043059,27180
C00043091,9333
C00043463,117295
C00043489,6300
C00043687,7412
C00043992,30634
C00044776,80351
C00044818,5600
C00044842,3387069
C00044990,1626178
C00045781,87650
C00046086,19975
C00046474,148526
C00048165,64948
C00048181,9425
C00048579,8440
C00048702,800
C00051979,5333
C00053553,163848
C00053751,53000
C00054890,608
C00055236,2000
C00055582,171513
C00055616,19522
C00056523,1650
C00059238,980
C00059477,6705
C00059733,86323
C00059832,141500
C00060103,6215
C00060707,6000
C00062224,5350
C00062646,900
C00062836,31349
C00063024,450
C00063164,14009
C00063461,250
C00064097,4035
C00064766,506277
C00064774,9362
C00065219,64300
C00065870,12944
C00065987,10750
C00066472,133505
C00067504,261550
C00067884,65662
C00068452,16100
C00068528,37781
C00068692,31087
C00071365,299775
C00072025,111275
C00072751,34131
C00072769,8845
C00072967,2750
C00073056,35192
C00073155,4200
C00073627,1636
C00073791,55308
C00074096,9750
C00074450,479097
C00074799,11932
C00075275,7850
C00075291,945
C00075341,33243
C00075358,520
C00075820,53490096
C00075994,11071
C00076133,4000
C00076182,4450
C00076299,175186
C00076588,225
C00076703,17250
C00076810,87392
C00076893,500
C00077024,15259
C00077305,3820
C00077321,1231
C00077354,17790
C00077362,9545
C00077370,884
C00077552,31412
C00078022,2000
C00078261,16432
C00078287,12100
C00078535,22250
C00079541,92011
C00079681,190756
C00079855,10301
C00080135,2747
C00080515,29162
C00080721,800
C00081414,116669
C00081422,2985
C00081455,21332
C00081547,4214
C00081802,270579
C00082040,28450
C00082271,24450
C00082677,1550
C00082792,18561
C00082800,300
C00082834,17989
C00082909,500
C00082917,219120
C00082925,77650
C00083279,151793
C00083535,82474
C00083758,3016
C00083790,6450
C00083808,500
C00083857,21829
C00083915,4200
C00084145,12150
C00084285,7205
C00084368,181408
C00084475,71982
C00084822,47493
C00084871,785
C00084954,324384
C00085506,158555
C00085910,40702
C00086298,500
C00086355,1000
C00086611,14293
C00087874,10620
C00088435,1210
C00088591,5338
C00089086,4875
C00089136,235378
C00089243,119711
C00089342,7231
C00089458,40000
C00089482,85330
C00089557,894
C00089987,1500
C00090415,7600
C00091561,600
C00091884,250
C00092247,55291
C00092841,1050
C00092957,19279
C00093054,21450
C00093096,5850
C00093179,2250
C00093948,43969
C00093963,12918
C00093989,228
C00094185,500
C00094573,30950
C00094581,7302
C00094896,7585
C00095059,100050
C00095109,7200
C00095117,12450
C00095869,6000
C00096156,62309
C00096594,500
C00096842,28468
C00097196,1000
C00097485,42340
C00097550,30945
C00097568,86900
C00097725,118000
C00097758,9502
C00098061,13613
C00098301,18830
C00099002,8008
C00099234,1006
C00099259,4992591
C00099267,90816
C00099754,13100
C00099937,4000
C00099945,4093
C00100107,62700
C00100131,250
C00100289,17795
C00100305,1707
C00100321,921
C00100404,13688
C00100644,4420
C00100693,21000
C00100974,16800
C00101105,365038
C00101204,12310
C00101212,256500
C00101410,7200
C00101592,2000
C00101725,20000
C00101766,210325
C00102368,183980
C00102517,3750
C00102731,9300
C00102764,55535
C00102780,17188
C00102947,1121
C00103143,18000
C00103283,700
C00103549,36900
C00103572,1800
C00103697,34400
C00103713,3200
C00103861,2051
C00103937,32050
C00104083,34155
C00104109,8530
C00104299,5616
C00104364,23375
C00104455,14779
C00104471,720732
C00104687,2100
C00104802,47946
C00104851,319453
C00104885,11465
C00104901,206172
C00105338,26200
C00105668,575754
C00105973,17928
C00105981,118300
C00106146,545642
C00106435,5940
C00106609,500
C00106716,2250
C00106740,23945
C00106971,1250
C00107128,6590
C00107136,8600
C00107235,728428
C00107300,41508
C00107615,8750
C00107771,61297
C00108001,13093
C00108035,86423
C00108209,55504
C00108290,11005
C00108613,486924
C00109017,960
C00109116,36270
C00109165,3456
C00109306,44446
C00109355,3160
C00109363,2250
C00109397,6855
C00109546,3204
C00109595,1110
C00109678,2300
C00109819,131675
C00109991,105270
C00110197,127283
C00110262,7027
C00110338,336046
C00110478,24048
C00110494,9850
C00110585,80050
C00110817,206
C00110858,41100
C00111104,4000
C00111278,402307
C00111302,60090
C00111310,6077
C00111427,26200
C00111476,1847
C00111534,105757
C00111559,8364
C00111567,21862
C00111658,23604
C00111880,14364
C00111898,4530
C00112623,2515
C00112680,28264
C00112722,24800
C00112763,3650
C00112888,44156
C00112896,7541
C00113001,967
C00113019,101250
C00113159,769
C00113241,54249
C00113258,76407
C00113449,12000
C00113464,750
C00113753,36771
C00113803,149046
C00113811,581901
C00113845,23500
C00113902,215779
C00114025,170749
C00114090,3703
C00114132,63830
C00114439,867442
C00114447,13030
C00114694,14748
C00114702,416
C00115303,43488
C00115568,69248
C00115832,5900
C00116020,12270
C00116061,240
C00116145,12640
C00116384,5470
C00116756,1515
C00116996,5347
C00117408,5310
C00117424,220
C00117614,900
C00117838,11203
C00117861,81006
C00117911,450
C00118208,66835
C00118430,45750
C00118919,11700
C00118943,220141
C00118950,10775
C00119008,9168
