CID,amount
N00000010,344457
N00000019,28798874
N00000036,136607
N00000078,747231
N00000086,750
N00000133,121409
N00000143,430894
N00000153,1021844
N00000179,312447
N00000183,2000
N00000226,243238
N00000245,1484735
N00000259,89
N00000267,530634
N00000270,605698
N00000275,1033927
N00000280,150822
N00000286,551310
N00000308,114954
N00000316,4500
N00000360,478771
N00000362,1618578
N00000379,4000
N00000397,15594133
N00000444,121000
N00000459,109931
N00000469,1273002
N00000480,37300
N00000491,4161888
N00000515,294784
N00000528,42100
N00000561,6803
N00000575,880329
N00000581,2144086
N00000615,753839
N00000616,20750
N00000637,1000
N00000652,2562477
N00000659,1934321
N00000684,396049
N00000686,9001
N00000699,337000
N00000716,440947
N00000743,579851
N00000751,661239
N00000766,513896
N00000781,1173788
N00000812,2513424
N00000826,859717
N00000834,129400
N00000851,609479
N00000860,354502
N00000898,954517
N00000939,462077
N00000964,2381103
N00000983,452050
N00001003,476697
N00001020,6679
N00001024,306577
N00001082,917025
N00001093,122035
N00001102,813392
N00001110,215840
N00001127,1315619
N00001143,537722
N00001148,538819
N00001150,1000
N00001171,858952
N00001193,644686
N00001214,66007
N00001222,283910
N00001261,431629
N00001267,1000
N00001276,523824
N00001295,658121
N00001311,584605
N00001373,590319
N00001380,38096
N00001395,8
N00001408,1915939
N00001422,149275
N00001427,3293269
N00001469,724069
N00001509,4302346
N00001510,1884
N00001535,9235
N00001579,1098629
N00001604,1408955
N00001619,417069
N00001633,423962
N00001669,367284
N00001678,2000
N00001685,1707722
N00001691,1221155
N00001692,185982
N00001725,490935
N00001746,225587
N00001758,675291
N00001762,533300
N00001764,13000
N00001783,2079359
N00001806,1151555
N00001811,537188
N00001813,286445
N00001817,385221
N00001821,2549777
N00001849,1543644
N00001861,715732
N00001885,105
N00001945,401077
N00001955,221852
N00001971,535038
N00002012,831512
N00002017,145456
N00002039,129312
N00002045,591504
N00002047,2250
N00002061,99795
N00002073,483570
N00002079,270495
N00002083,529363
N00002091,238795
N00002097,2486251
N00002101,2078
N00002147,258880
N00002167,625210
N00002171,1265842
N00002198,434063
