CID,amount
         ,13150
C00000042,8262
C00000059,200
C00000372,700
C00000422,3841812
C00000638,13775
C00000729,213663
C00000794,46000
C00000885,282336
C00000901,1609670
C00000935,3209049
C00000984,96000
C00001008,7100
C00001016,18091
C00001156,1442
C00001180,38825
C00001198,343441
C00001214,284870
C00001289,17400
C00001305,1272572
C00001313,824724
C00001388,13138
C00001420,10100
C00001461,3760
C00001636,127919
C00001685,272322
C00001727,149475
C00001776,800
C00001818,2000
C00001875,51317
C00001917,11349
C00002089,65937
C00002238,27500
C00002261,324345
C00002469,720759
C00002766,56527
C00002790,240
C00002881,683521
C00002931,26558237
C00002956,49625
C00002972,122459
C00003061,700
C00003111,150668
C00003194,274248
C00003251,211549
C00003327,53530
C00003418,82854088
C00003459,1050
C00003558,859116
C00003590,1620
C00003756,32600
C00003764,771317
C00003806,1895
C00003830,123051
C00003855,13050
C00003897,2500
C00003970,24500
C00003988,256441
C00004010,15334
C00004036,11311
C00004101,197825
C00004275,63929
C00004325,120926
C00004473,4185
C00004515,33505
C00004606,272608
C00004812,353535
C00004861,250
C00004879,95450
C00004929,2700
C00004960,1750
C00004994,52569
C00005132,2910
C00005157,4620
C00005173,790606
C00005249,234232
C00005462,16070
C00005488,48021
C00005561,619845
C00005660,131901
C00005751,3575
C00005785,267305
C00005801,1500
C00005819,41200
C00005926,1122946
C00006049,117651
C00006080,666326
C00006296,775
C00006338,2031
C00006486,690891
C00006783,250
C00007070,4750
C00007450,58240
C00007542,321328
C00007658,403429
C00007880,97747
C00007898,150844
C00007922,49428
C00007948,36080
C00008086,94018
C00008227,588324
C00008268,4325
C00008334,600
C00008425,52450
C00008474,142928
C00008664,982430
C00008748,1952
C00008839,180143
C00009035,7675
C00009282,76269
C00009357,19350
C00009423,9564
C00009449,4500
C00009597,6500
C00009639,1275
C00009704,214530
C00009795,39700
C00009845,50531
C00009928,1428
C00009936,21623
C00009985,703253
C00010033,257213
C00010082,997200
C00010124,70000
C00010322,30613
C00010363,887381
C00010421,875068
C00010439,6420
C00010470,110763
C00010488,24650
C00010520,725
C00010603,67574275
C00010710,1050
C00010793,148875
C00010868,207106
C00010876,200
C00010967,300
C00010983,60082
C00011114,901
C00011197,3302485
C00011221,12880
C00011262,725
C00011270,7950
C00011338,200
C00011544,46995
C00011627,3200
C00011718,700
C00012245,23900
C00012310,55600
C00012328,143652
C00012401,25500
C00012468,51111
C00012476,48046
C00012484,22100
C00012518,30875
C00012880,116897
C00012914,132240
C00013342,3650
C00013672,135331
C00013748,41824
C00013961,259892
C00014019,31550
C00014092,16009
C00014498,923903
C00014555,328149
C00014878,89800
C00015024,592097
C00015552,207899
C00015925,1539
C00015933,4470
C00016386,39900
C00016444,1700
C00016683,96349
C00016899,706522
C00017244,900
C00017525,136719
C00017558,30510
C00017681,16040
C00018028,195075
C00018036,6250
C00018135,20250
C00018929,166566
C00018945,774
C00019083,3400
C00019331,268335
C00019380,129311
C00019653,38112
C00019976,10000
C00020453,2000
C00020818,760697
C00021121,2524
C00021295,62984
C00021972,17500
C00022343,240067
C00022368,121232
C00022517,450
C00022988,128250
C00022996,10000
C00023028,91475
C00023580,58962
C00023838,931307
C00024281,147300
C00024299,131550
C00024349,42950
C00024372,345443
C00024422,973
C00024455,3526
C00024521,1376500
C00024679,191761
C00024703,14175
C00024752,16700
C00024869,991483
C00024935,14400
C00024968,237734
C00025023,15000
C00025098,8020
C00025163,23997
C00025254,440301
C00025395,1000
C00025536,9152
C00025668,84295
C00026823,7477
C00027359,17004
C00027466,17817653
C00027532,621267
C00028670,7751
C00028787,227098
C00028860,1870
C00029165,202673
C00029348,107169
C00029447,217151
C00029504,27836
C00030007,21275
C00030478,20000
C00030593,13875
C00030676,30836
C00030718,615327
C00030734,33484
C00030809,4750
C00031054,948442
C00031088,1213233
C00032334,169465
C00032391,6000
C00032441,29900
C00032573,8800
C00032656,5217
C00032698,421032
C00032797,211991
C00032805,12370
C00032979,600
C00032995,5420
C00033092,4400
C00033134,365040
C00033423,67580
C00033431,25075
C00033456,41927
C00033548,14150
C00033555,41646
C00033589,50386
C00033704,2700
C00033753,8450
C00033779,181450
C00033795,250
C00033944,2900
C00033969,4810
C00033977,25442
C00034033,289403
C00034041,2100
C00034132,182564
C00034157,173185
C00034173,78450
C00034181,7500
C00034256,830
C00034272,118965
C00034330,20164
C00034355,22000
C00034405,20946
C00034470,17936
C00034488,222235
C00034538,2430
C00034553,3000
C00034595,24432
C00034678,30781
C00034728,4000
C00034785,98550
C00034827,500
C00034884,21000
C00034934,15900
C00035006,13300
C00035204,60045
C00035253,4685
C00035451,63145
