CID,amount
         ,213284
C00000422,1390555
C00000638,6110
C00000729,155135
C00000794,42500
C00000885,107420
C00000901,2467655
C00000935,36272572
C00000984,241524
C00001008,54075
C00001016,83970
C00001180,26105
C00001198,146170
C00001214,122802
C00001305,618087
C00001313,1067329
C00001388,31919
C00001420,16494
C00001461,500
C00001636,21390
C00001685,24500
C00001727,43250
C00001818,4350
C00001875,84557
C00001917,46310
C00002089,2283
C00002147,1899
C00002238,23975
C00002261,264050
C00002469,349598
C00002766,45115
C00002790,4426
C00002840,23194
C00002881,621684
C00002956,59411
C00002972,116381
C00003111,53165
C00003152,28420
C00003160,2000
C00003194,22012
C00003210,1750
C00003251,386121
C00003327,140980
C00003418,45007707
C00003558,120832
C00003590,610
C00003632,47025
C00003756,15166
C00003764,524519
C00003806,8792
C00003855,13200
C00003970,43802
C00003988,165925
C00004036,1692
C00004101,59775
C00004275,143026
C00004325,47082
C00004473,49700
C00004499,490
C00004606,72297
C00004812,603348
C00004861,5555
C00004879,49750
C00004994,16633
C00005132,9450
C00005157,500
C00005173,240727
C00005249,226662
C00005488,25700
C00005561,803560
C00005660,53925
C00005785,229609
C00005801,1100
C00005926,656298
C00006080,655129
C00006338,440
C00006486,205065
C00007070,22812
C00007450,59278
C00007542,171700
C00007658,99301
C00007880,94850
C00007898,177100
C00007922,6847
C00007948,29335
C00008086,432769
C00008151,27750
C00008227,659194
C00008268,28857
C00008474,201982
C00008664,622533
C00008748,3524
C00008839,376076
C00009282,47302
C00009357,108550
C00009423,84985
C00009639,3816
C00009704,94340
C00009795,10000
C00009845,17173
C00009936,26517
C00009985,808330
C00010033,584561
C00010082,1448400
C00010124,77335
C00010322,67012
C00010363,22794
C00010421,884326
C00010439,3650
C00010470,430491
C00010488,5700
C00010520,7160
C00010603,21190947
C00010710,13275
C00010793,88825
C00010868,446838
C00010983,32048
C00011114,17445
C00011197,55718
C00011221,35350
C00011262,300
C00011338,2080
C00011544,93795
C00011627,20565
C00011643,2530
C00012211,160
C00012245,413289
C00012310,31875
C00012328,155647
C00012401,3000
C00012468,21133
C00012476,5750
C00012484,64525
C00012518,33154
C00012880,262984
C00012914,120350
C00013342,760
C00013672,106674
C00013748,115023
C00013961,40617
C00014019,15954
C00014092,41779
C00014498,459462
C00014555,290627
C00014878,38150
C00015024,267692
C00015552,51225
C00015933,7888
C00016386,95100
C00016444,44850
C00016683,102592
C00016899,601323
C00017244,1795
C00017525,22370
C00017681,12650
C00018028,115876
C00018036,3750
C00018135,500
C00018929,7620
C00018945,1800
C00019083,1500
C00019331,193086
C00019380,216432
C00019653,35700
C00020453,13554
C00020818,326650
C00021121,20370
C00021295,68210
C00021972,30966
C00022343,670688
C00022368,102600
C00022517,1202
C00022988,80971
C00023028,219218
C00023580,142923
C00023838,593425
C00024281,69825
C00024299,8000
C00024349,18169
C00024372,635883
C00024422,213
C00024521,1009844
C00024679,188618
C00024752,9250
C00024869,609520
C00024935,19100
C00024968,157386
C00025098,200
C00025254,1022163
C00025346,15243
C00025395,13215
C00025536,6250
C00025668,10550
C00026096,2144
C00027359,86910
C00027466,7033225
C00027532,267371
C00028415,2250
C00028670,250
C00028787,181086
C00028860,7424
C00029348,73950
C00029447,714543
C00029504,55187
C00030007,145080
C00030593,37495
C00030676,38289
C00030718,1253177
C00030734,5171
C00031054,967524
C00031088,414736
C00032334,251249
C00032573,16826
C00032607,292
C00032698,306590
C00032979,6878
C00032995,3825
C00033134,380260
C00033423,19079
C00033456,5984
C00033589,43300
C00033704,6448
C00033779,272050
C00033795,14900
C00033969,56346
C00033977,59900
C00034033,231869
C00034041,8037
C00034132,438684
C00034157,347712
C00034173,35350
C00034256,1750
C00034272,52309
C00034298,27410
C00034330,6190
C00034355,12000
C00034405,20205
C00034470,68299
C00034488,150818
C00034595,29265
C00034678,36105
C00034785,117015
C00034827,4228
C00034884,2219
C00034934,14600
C00035006,37502
C00035204,75359
C00035253,11955
C00035451,15884
C00035477,3050
C00035600,1506516
C00035618,242358
C00035675,72877
C00035683,83802
C00035691,18920
C00035766,18915
C00035774,43000
C00035857,3000
C00038505,344086
C00038604,156957
C00038612,982
C00038927,2500
C00039016,6920
C00039040,9776
C00039057,11045
C00039123,250
C00039164,31296
C00039206,36820
C00039214,86880
C00039305,138266
C00039321,33652
C00039461,24275
C00039503,7900
C00039578,197325
C00039941,4400
C00040220,162900
C00040253,500
C00040279,51996
C00040329,66050
C00040394,16285
C00040535,234370
C00040550,31601
C00040568,12605
C00040584,28300
C00040659,250
C00040725,31550
C00040840,3771
C00040857,9941
C00040923,49260
C00040998,1774963
C00041038,2300
C00041061,28200
C00041160,923767
C00041236,5050
C00041376,4089
C00041566,22050
C00041590,1000
C00041608,550
C00041947,420
C00042002,94537
C00042069,61313
C00042366,211550
C00042622,2013714
C00042895,5000
C00042960,6750
C00043059,225
C00043463,115197
C00043471,18145
C00043489,64710
C00043687,19094
C00043919,1300
C00043992,31550
C00044776,241719
C00044818,4635
C00044842,1470304
C00044990,515832
C00045781,139050
C00046086,81950
C00046474,97956
C00048165,8470
C00048181,16658
C00048579,6990
C00048702,6600
C00051979,16727
C00053553,243100
C00053751,30750
C00055582,29357
C00055616,2450
C00056523,900
C00059238,2016
C00059329,2500
C00059477,9274
C00059733,153730
C00059832,183900
C00059907,15140
C00060103,6560
C00060707,9947
C00062224,22531
C00062836,15550
C00063024,1000
C00063164,108500
C00064097,750
C00064766,208925
C00064774,2705
C00065219,56450
C00065870,25032
C00065987,3750
C00066472,276272
C00067231,133440
C00067504,191084
C00067884,19737
C00068452,18800
C00068528,71232
C00068692,104163
C00071365,195925
C00072025,108446
C00072769,53622
C00073056,30878
C00073155,8900
C00073791,210931
C00074096,36624
C00074450,256174
C00074633,19128
C00074799,7565
C00075275,7250
C00075291,249
C00075341,39142
C00075820,43304466
C00076133,2750
C00076174,4500
C00076182,8793
C00076299,562405
C00076588,1023
C00076703,4750
C00076737,6000
C00076810,75652
C00076893,950
C00077305,3194
C00077321,201009
C00077354,1340
C00077362,16400
C00077552,4613
C00078196,88700
C00078261,16224
C00078287,83048
C00078451,2300
C00078535,5000
C00079145,250
C00079327,250
C00079541,119211
C00079566,500
C00079681,51825
C00079855,54161
C00080135,23751
C00080515,35315
C00080648,85375
C00080655,500
C00081414,102157
C00081422,18785
C00081455,5421
C00081547,3105
C00082040,88677
C00082271,48400
C00082677,28250
C00082792,33164
C00082800,1000
C00082834,77430
C00082909,250
C00082917,521930
C00082925,558240
C00083279,162648
C00083535,113229
C00083758,34546
C00083790,7550
C00083808,2100
C00083857,43657
C00083915,7750
C00084061,894
C00084145,13100
C00084285,1800
C00084368,359160
C00084475,61821
C00084491,104115
C00084822,11000
C00084871,7214
C00084954,378568
C00085316,2137
C00085506,387370
C00085910,45599
C00085977,20490
C00086348,725
C00086355,750
C00086611,6847
C00087874,8120
C00087882,2653
C00088435,17750
C00088591,29210
C00089086,14504
C00089136,238087
C00089243,60350
C00089342,15379
C00089458,1000
C00089482,53910
C00089557,1017
C00090415,4550
C00091561,18761
C00092247,5405
C00092841,800
C00092957,64474
C00093054,19360
C00093948,29208
C00093963,17340
C00093989,3122
C00094185,11000
C00094573,32410
C00094581,8767
C00094896,31117
C00095059,114200
C00095109,3575
C00095117,19250
C00095869,72600
C00096156,37033
C00096842,59666
C00097196,300
C00097238,12620
C00097485,32220
C00097550,45884
C00097568,31898
C00097725,183900
C00097758,12910
C00098061,6506
C00098301,2250
C00099002,3804
C00099234,3461
C00099259,1421517
C00099267,249281
C00099754,17400
C00099945,939
C00100107,72886
C00100131,10941
C00100289,2300
C00100305,4410
C00100321,2730
C00100404,36261
C00100644,20845
C00100693,247750
C00100974,28930
C00101105,784297
C00101204,39725
C00101212,27500
C00101410,10250
C00101485,3365
C00101592,18800
C00101626,750
C00101725,425
C00101766,129543
C00102160,250
C00102368,135750
C00102517,10710
C00102731,17100
C00102764,83710
C00102780,34142
C00103143,34454
C00103283,1100
C00103549,61650
C00103572,2400
C00103697,63459
C00103713,10000
C00103861,1250
C00103937,21550
C00104083,26407
C00104109,3250
C00104299,29681
C00104364,7614
C00104455,13205
C00104471,1106857
C00104687,2640
C00104802,31273
C00104851,319600
C00104885,2750
C00104901,322520
C00105338,36800
C00105668,636542
C00105973,135300
C00105981,713700
C00106146,521124
C00106435,4615
C00106609,5050
C00106716,13040
C00106740,20564
C00107128,2458
C00107136,35100
C00107235,116897
C00107300,88581
C00107615,38476
C00107680,400
C00107771,48437
C00108001,994
C00108035,77788
C00108209,129984
C00108290,31496
C00108456,1750
C00108555,2400
C00108613,106500
C00109116,58150
C00109306,82072
C00109355,25500
C00109397,4059
C00109546,132692
C00109678,1850
C00109819,226198
C00109991,57799
C00110197,163610
C00110262,30492
C00110338,211542
C00110478,17768
C00110577,1055
C00110585,103000
C00110858,21350
C00111104,13500
