CID,amount
         ,1885568.0
C00000059,3114.0
C00000422,58656.0
C00000638,11596.0
C00000729,30655.0
C00000885,1454.0
C00000901,10840.0
C00000935,8889023.0
C00000984,193.0
C00001016,30388.0
C00001198,6355.0
C00001305,67834.0
C00001313,91404.0
C00001388,4481.0
C00001636,2206.0
C00001727,500.0
C00001743,248.0
C00001917,568799.0
C00002089,27921.0
C00002238,250.0
C00002261,18552.0
C00002469,123344.0
C00002766,12004.0
C00002832,8020.0
C00002881,35913.0
C00002972,86679.0
C00003111,45443.0
C00003160,2876.0
C00003251,3342.0
C00003418,21474222.0
C00003558,2600.0
C00003590,28243.0
C00003632,5606.0
C00003764,42621.0
C00003855,2119.0
C00003970,400.0
C00003988,18110.0
C00004036,13317.0
C00004101,500.0
C00004275,9010.0
C00004325,3427.0
C00004473,9908.0
C00004606,274128.0
C00004812,31235.0
C00004861,6474.0
C00004879,1264.0
C00004994,1700.0
C00005157,3247.0
C00005173,250.0
C00005249,16948.0
C00005561,703026.0
C00005660,6125.0
C00005785,650.0
C00005926,6000.0
C00006080,168.0
C00006486,199548.0
C00007070,2988.0
C00007450,3004.0
C00007542,5740.0
C00007658,82284.0
C00007880,45986.0
C00007898,1212.0
C00007922,15156.0
C00007948,9502.0
C00008086,9433.0
C00008151,1126.0
C00008227,16860.0
C00008268,468.0
C00008409,1980.0
C00008474,15159.0
C00008664,109567.0
C00008748,3051.0
C00008839,600.0
C00009282,38278.0
C00009357,844.0
C00009639,6579.0
C00009704,1025.0
C00009845,120.0
C00009936,5080.0
C00009985,9757.0
C00010033,179096.0
C00010082,1417.0
C00010322,8314.0
C00010363,3750.0
C00010421,2560.0
C00010439,1042646.0
C00010470,147992.0
C00010603,1914905.0
C00010793,1575.0
C00010868,30367.0
C00010983,5657.0
C00011114,47050.0
C00011197,281246.0
C00011262,1382.0
C00011544,7500.0
C00011643,30.0
C00011767,479.0
C00012245,35405.0
C00012310,1007.0
C00012328,2500.0
C00012468,11225.0
C00012484,900.0
C00012880,4642.0
C00012914,34273.0
C00013342,700.0
C00013748,7083.0
C00013961,12475.0
C00014498,7715.0
