CID,amount
N00000010,259514
N00000019,60238
N00000036,2357539
N00000078,871761
N00000133,172645
N00000143,432647
N00000153,1498809
N00000179,567914
N00000183,23100
N00000205,1000
N00000226,354518
N00000245,310100
N00000267,2507940
N00000270,682836
N00000275,1263062
N00000280,59200
N00000286,4500
N00000308,24500
N00000360,309321
N00000362,122900
N00000387,83641
N00000397,10953
N00000423,2730089
N00000480,458406
N00000491,228835
N00000515,520435
N00000528,75570
N00000554,400
N00000561,225
N00000575,1125993
N00000581,2517491
N00000615,790280
N00000616,211700
N00000634,9750
N00000652,10959
N00000659,164901
N00000684,477278
N00000699,673403
N00000716,344062
N00000743,706180
N00000751,754480
N00000766,1500
N00000781,1234678
N00000812,2644234
N00000826,641621
N00000851,728185
N00000860,843167
N00000898,723163
N00000939,450505
N00000962,1925
N00000964,1062641
N00000983,38500
N00001003,425280
N00001024,324642
N00001025,67463
N00001074,6375
N00001082,839171
N00001093,3097770
N00001102,631801
N00001110,264666
N00001127,1427966
N00001143,345967
N00001148,706444
N00001160,205
N00001171,687536
N00001193,615056
N00001214,650
N00001222,1097894
N00001261,7440
N00001276,104000
N00001295,634
N00001311,525369
N00001373,530927
N00001408,403672
N00001427,16540
N00001469,924241
N00001489,16152293
N00001509,4061220
N00001579,1138822
N00001604,3571069
N00001619,297985
N00001633,477985
N00001685,309270
N00001691,13304
N00001692,219349
N00001725,479845
N00001746,356764
N00001758,3180568
N00001762,1091018
N00001764,91150
N00001783,1460773
N00001806,1259404
N00001811,660140
N00001813,250751
N00001817,385035
N00001821,2961524
N00001861,1116830
N00001885,500
N00001945,1543519
N00001955,254949
N00001971,463863
N00002017,152730
N00002045,1496
N00002047,2400
N00002073,482700
N00002083,525794
N00002091,1000
N00002097,414950
N00002147,300334
N00002167,13947
N00002171,2957408
N00002198,1474535
N00002200,7500
N00002213,4816072
N00002214,577615
N00002221,4262073
N00002247,358008
N00002260,453188
N00002269,1307384
N00002299,330226
N00002315,21440
N00002327,530285
N00002328,485661
N00002356,1164275
N00002408,2165737
N00002428,178067
N00002460,183734
N00002472,1292020
N00002492,3363021
N00002511,5000
N00002526,4000
N00002544,4500
N00002577,736109
N00002581,10
N00002593,3113828
N00002599,73500
N00002610,99123
N00002656,601340
N00002674,1792586
N00002685,251625
N00002713,477814
N00002743,3052486
N00002782,449974
N00002793,723245
N00002807,2000
N00002836,7000
N00002858,486355
N00002872,150960
N00002884,406169
N00002905,109300
N00002942,2262281
N00002982,10000
N00003028,310372
N00003036,2500
N00003042,4557
N00003045,16853
N00003062,81937
N00003085,7650
N00003105,869125
N00003126,483299
N00003132,359537
N00003136,10000
N00003159,23500
N00003209,437919
N00003225,527497
N00003254,495011
N00003264,2258567
N00003280,483484
N00003288,1096591
N00003328,138369
N00003350,933457
N00003389,639465
N00003392,500
N00003437,292331
N00003467,825445
N00003473,523639
N00003504,5500
N00003522,455636
N00003528,1167651
N00003535,598975
N00003545,718142
N00003572,141788
N00003583,94500
N00003675,2921906
N00003682,5669940
N00003689,1092874
N00003730,6150
N00003758,5010
N00003762,1260778
N00003765,698139
N00003790,8500
N00003813,571828
N00003844,352529
N00003845,1597545
N00003875,2809744
N00003897,1250
N00003924,257250
N00003950,1413053
N00004005,385494
N00004029,548273
N00004045,20129
N00004070,368823
N00004118,830626
N00004128,6000
N00004133,1364618
N00004155,4325
N00004166,69400
N00004196,493145
N00004207,405532
N00004208,1093217
N00004227,797984
N00004231,10000
N00004291,243169
N00004357,1291077
N00004367,361672
N00004394,821865
N00004403,2211454
N00004426,556088
N00004436,743285
N00004497,2000
N00004558,933147
N00004572,2161773
N00004613,422250
N00004614,1779
N00004615,2076480
N00004638,1000
N00004643,770900
N00004645,505526
N00004671,2000
N00004719,1031845
N00004723,61202
N00004724,425614
N00004762,822348
N00004851,12500
N00004874,336158
N00004884,610954
N00004887,493881
N00004905,449137
N00004956,672090
N00004961,1313910
N00004975,20
N00004981,401950
N00005004,5000
N00005090,909456
N00005105,3009385
N00005157,38069
N00005178,45109
N00005181,1503582
N00005195,10874023
N00005218,2000
N00005233,331972
N00005244,45000
N00005282,1450834
N00005285,206712
N00005321,1221847
N00005329,924889
N00005353,2000
N00005395,332651
N00005399,5000
N00005455,393887
N00005504,301
N00005559,688168
N00005582,145748
N00005601,1425523
N00005645,451518
N00005656,1198836
N00005675,118750
N00005681,1072050
N00005724,159529
N00005794,2368870
N00005813,332169
N00005818,348035
N00005870,834426
N00005883,788665
N00005906,31422
N00005928,6002
N00005960,689690
N00005998,762803
N00006008,312670
N00006023,358450
N00006052,239604
N00006067,449833
N00006134,526197
N00006182,18397
N00006236,297332
N00006240,2000
N00006249,169837
N00006263,544192
N00006267,1980356
N00006288,1457468
N00006347,2128014
N00006349,1000
N00006389,7500
N00006397,609581
N00006406,338650
N00006423,211318
N00006424,1741838
N00006425,198734
N00006455,95477
N00006456,6935
N00006460,2736847
N00006518,334500
N00006561,95163
N00006593,2904
N00006619,94013
N00006671,340459
N00006690,112368
N00006692,11239458
N00006750,429720
N00006770,1000
N00006789,270709
N00006863,152451
N00006882,630815
N00006897,551396
N00006932,540154
N00006954,388484
N00006981,441478
N00006983,1000
N00007009,500
N00007017,698294
N00007033,476180
N00007068,1201781
N00007087,504728
N00007089,423781
N00007099,1383730
N00007151,100519
N00007216,208
N00007231,155202
N00007232,426457
N00007248,749368
N00007312,417550
N00007335,800337
N00007360,1968571
N00007364,512402
N00007377,76567
N00007390,600061
N00007397,479850
N00007419,958144
N00007422,66883
N00007458,325425
N00007479,404649
N00007507,235479
N00007516,188953
N00007556,100
N00007584,718029
N00007622,2154
N00007632,10750
N00007653,19000
N00007665,27660
N00007690,1022149
N00007700,7500
N00007724,1872684
N00007727,802867
N00007736,1567705
N00007781,857733
N00007815,2200
N00007833,560456
N00007836,23262
N00007876,12955801
N00007918,782503
N00007936,115551
N00007949,2000
N00007997,2637
N00007999,379826
N00008006,19500
N00008028,619085
N00008038,9500
